VALID	DESC	ID
		<VI>card_ids	<S>name	<B>type	<S>effect	<S>version
		4815	古代水晶	E	tool_template	A
		1277	滚滚浓烟	E	tool_template	D
		6242	锅型头盔	E	tool_template	F
		93	海绵手套	E	tool_template	E
		9900,12576,12965	豪华斗篷	E	raw:附有这张卡的宝可梦（"拥有规则的宝可梦"除外）的最大HP"+100"，那只宝可梦受到对手的宝可梦招式的伤害而【昏厥】时，被获得的奖赏卡的张数增加1张。	G
		13086	赫普的讲究头带	E	raw:附有这张卡的"赫普的宝可梦"，使用招式所需的能量减少1个【无】能量，那只宝可梦使用的招式，对对手的战斗宝可梦造成的伤害"+30"点。	I
		3466	黑带	E	tool_template	C
		4493	虹色之花	E	tool_template	C
		865	蝴蝶结徽章	E	tool_template	E
		582,6075	回忆胶囊	E	tool_template	D
		3112,8515,9347,12256,12748	活力头带	E	tool_template	D,G
		4661	火焰记忆碟	E	tool_template	A
		7104	机关臂	E	tool_template	F
		3282	肌力护膝	E	tool_template	C
		4819	肌力哑铃	E	tool_template	A
		10863,12580	极限腰带	E	raw:附有这张卡的宝可梦使用的招式，对对手的战斗场的"宝可梦【ex】"造成的伤害"+50"点。	H
		1424,1582,2520,6071	坚韧斗篷	E	tool_template	D
		3304,4657	讲究头带	E	tool_template	A
		5164	讲究头盔	E	tool_template	B
		6241,6873,7446,7466,8100,8559	讲究腰带	E	tool_template	F
		3469,3963	金属核心屏障	E	tool_template	C
		5727,5912	金属护目镜	E	tool_template	B
		7562	紧急果冻	E	tool_template	F
		10861,11758,12049,12574,12963,13138	紧急滑板	E	raw:附有这张卡的宝可梦，【撤退】所需的能量减少1个。若那只宝可梦的剩余HP为"30"以下，则【撤退】所需的能量全部消除。	H
		4658	精神记忆碟	E	tool_template	A
		4492	巨型炸弹	E	tool_template	C
		7372	恐慌面具	E	tool_template	F
		11509,11791	力之沙漏	E	end_turn|attach_energy_from_discard:count=1;filter=基本;target=any|unparsed:在时，若附有这张卡的宝可梦在战斗场上，则可身上。	H
		13087	莉莉艾的珍珠	E	raw:附有这张卡的"莉莉艾的宝可梦"受到对手的宝可梦招式的伤害而【昏厥】时，被获得的奖赏卡减少1张。	I
		1138	连击的卷轴 飞龙之卷	E	damage_bench:target=opponent_1;damage=90|discard_energy:target=self;filter=2个;count=1|unparsed:附有这张卡的"连击"宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。] 火雷 流星 no	E
		1002	连击的卷轴 天之卷	E	damage_modify:amount=+50;condition=energy_count|unparsed:附有这张卡的"连击"宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]雷●　饭纲坠击　1	E
		795	连击的卷轴 旋涡之卷	E	tool_template	E
		6072	猎人手套	E	tool_template	E
		1137,6752	灵界面具	E	raw:当附有这张卡的宝可梦在战斗场受到对手的宝可梦招式的伤害时，对手选择对手自己的1张手牌，将其丢弃。	E
		3796	龙Z 龙爪	E	tool_template	C
		5167	龙之钩爪	E	tool_template	B
		12577,12966	莓榴果	E	raw:附有这张卡的宝可梦受到对手的【龙】宝可梦招式的伤害时，那个伤害"-60"点，将这张卡丢弃。	H
		2926	木子果	E	tool_template	D
		2770	逆境手套	E	tool_template	D
		12176	霹霹果	E	raw:附有这张卡的宝可梦受到对手的【钢】宝可梦招式的伤害时，那个伤害"-60"点，将这张卡丢弃。	H
		933	破坏手套	E	raw:附有这张卡的宝可梦使用的招式，对对手的战斗场的【钢】宝可梦造成的伤害"+30"点。	E
		11640	奇树	E	raw:双方玩家各将自己的手牌全部翻回反面并重洗，放回牌库下方。然后，各从牌库抽出与自己剩余奖赏卡的张数相同数量的卡。	G
		4818,5911	祈愿接力棒	E	tool_template	A
		2521,2924,6073,6272	气球	E	tool_template	D
		11984	千香果	E	raw:‌附有这张卡的宝可梦受到对手的【水】宝可梦招式的伤害时，那个伤害"-60"点，将这张卡丢弃。	H
		11884	巧可果	E	raw:‌附有这张卡的宝可梦受到对手的【火】宝可梦招式的伤害时，那个伤害"-60"点，将这张卡丢弃。	H
		4656	青草记忆碟	E	tool_template	B
		4654	清水记忆碟	E	tool_template	B
		10019,10862,10955,12578,12967	驱劲能量 古代	E	raw:附有这张卡的"古代"宝可梦的最大HP"+60"，那只宝可梦不会陷入特殊状态，并将受到的特殊状态全部恢复。	G
		10086,10933,11003,12579,12968	驱劲能量 未来	E	raw:附有这张卡的"未来"宝可梦【撤退】所需的能量全部消除，那只宝可梦使用的招式，对对手的战斗宝可梦造成的伤害"+20"点。	G
		1071,2443,6751	全罩防守	E	tool_template	E
		1697,1855,2022,2444,2925	燃烧围巾	E	tool_template	D
		4816	弱点保险	E	tool_template	A
		7689,11759	森林封印石	E	tool_template	F
		11887	奢华炸弹	E	damage_place:target=attacker;count=12|unparsed:附有这张卡的宝可梦在战斗场受到对手的宝可梦招式的伤害时，。然后，将这张卡丢弃。	H
		11379	手持循环扇	E	raw:附有这张卡的宝可梦在战斗场受到对手的宝可梦招式的伤害时，选择1个使用招式的宝可梦身上附加的能量，改附于对手的备战宝可梦身上。	H
		11508,12575,12964	锁链糬	E	raw:附有这张卡的【中毒】的宝可梦使用的招式，对对手的战斗宝可梦造成的伤害"+40"点。	H
		4515,5162	逃脱滑板	E	tool_template	B
		8101	天空封印石	E	tool_template	F
		1275,8443,9348,12749	凸凸头盔	E	tool_template	D,G
		1069	挖洞手套	E	tool_template	E
		581,6074	望远镜	E	tool_template	D
		2769	文柚果	E	tool_template	D
		12174	希望护身符	E	shuffle_deck|unparsed:附有这张卡的宝可梦受到对手的宝可梦招式的伤害而【昏厥】时，从自己的牌库任意选择最多3张卡加入手牌。。	H
		1136	橡胶手套	E	raw:附有这张卡的宝可梦使用的招式，对对手的战斗场的【雷】宝可梦造成的伤害"+30"点。	E
		6070	消灾手套	E	tool_template	E
		11176	幸存锻炼器	E	raw:附有这张卡的宝可梦的HP是全满的状态下，受到对手的宝可梦招式的伤害而【昏厥】时，那只宝可梦不会【昏厥】，而是以剩余HP为"10"的状态留在场上。然后，将这张卡丢	H
		3113	幸运蛋	E	tool_template	D
		11177	幸运头盔	E	draw:count=2|unparsed:附有这张卡的宝可梦在战斗场受到对手的宝可梦招式的伤害时，。	H
		2021,2605,4814,6749,7763,8364,11660	学习装置	E	tool_template	A,E,G
		863	雪叶徽章	E	tool_template	E
		9612	巡逻帽子	E	raw:只要附有这张卡的宝可梦在战斗场上，自己的牌库不会受到对手的招式・特性・物品卡・宝可梦道具卡・支援者卡的卡牌效果影响而丢弃牌库。	G
		8363,9346,10278	岩石胸甲	E	raw:附有这张卡的【斗】宝可梦，受到对手的宝可梦招式的伤害"-30"点。	G
		5725	妖精坠饰 UB	E	tool_template	B
		3468	妖精坠饰 特性	E	tool_template	C
		5722	妖精坠饰【草】	E	tool_template	B
		5723	妖精坠饰【超】	E	tool_template	B
		5724	妖精坠饰【斗】	E	tool_template	B
		3467	妖精坠饰【雷】	E	tool_template	C
		5726	妖精坠饰【龙】	E	tool_template	B
		7447,7467,8102	叶隐披风	E	tool_template	F
		4494	一般Ｚ 撞击	E	tool_template	C
		2604	一击的卷轴 愤怒之卷	E	tool_template	E
		931	一击的卷轴 贯通之卷	E	ignore:weakness|unparsed:附有这张卡的"一击"宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]火●●　枪弹突破　	E
		1070	一击的卷轴 牙龙之卷	E	tool_template	E
		3280	异兽法宝	E	tool_template	C
		4495	异兽秘石	E	tool_template	C
		3279	隐密风帽	E	tool_template	C
		10932	英雄斗篷	E	raw:附有这张卡的宝可梦的最大HP"+100"。	H
		1423	英雄奖牌	E	tool_template	D
		9025,10280,11745,12747	硬硬束带	E	raw:附有这张卡的【1阶进化】宝可梦，受到对手的宝可梦招式的伤害"-30"点。	G
		8800,9840,10283,11684,11725,12050,12750	勇气护符	E	raw:附有这张卡的【基础】宝可梦的最大HP"+50"。	G
		94,2442	余音大铃铛	E	tool_template	E
		862	元素徽章	E	tool_template	E
		864	月亮与太阳徽章	E	tool_template	E
		7105	灾祸箱	E	tool_template	F
		4660	战斗记忆碟	E	tool_template	A
		9902	招式学习器 暗中奇袭	E	end_turn|unparsed:附有这张卡的宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]将附于宝可梦身上的这张卡，	G
		10284	招式学习器 火场一爆	E	end_turn|unparsed:附有这张卡的宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]将附于宝可梦身上的这张卡，	G
		9901	招式学习器 能量涡轮	E	end_turn|unparsed:附有这张卡的宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]将附于宝可梦身上的这张卡，	G
		12582,12970	招式学习器 ‌衰退	E	end_turn|unparsed:附有这张卡的宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。] 将附于宝可梦身上的这张卡	G
		10021,12052	招式学习器 衰退	E	end_turn|unparsed:附有这张卡的宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]将附于宝可梦身上的这张卡，	G
		10087,11639,12051,12581,12969	招式学习器 演进	E	end_turn|unparsed:附有这张卡的宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]将附于宝可梦身上的这张卡，	G
		12177	招式学习器 萤石	E	end_turn|unparsed:附有这张卡的宝可梦，可使用这张卡上写的招式。[需要有足够使用招式的能量。]将附于宝可梦身上的这张卡，	H
		1001	正义手套	E	raw:附有这张卡的宝可梦使用的招式，对对手的战斗场的【恶】宝可梦造成的伤害"+30"点。	E
		11886	重力之玉	E	raw:只要附有这张卡的宝可梦在战斗场上，双方的战斗宝可梦【撤退】所需的能量各增加1个。	H
		3795	诸岛巡礼之证	E	tool_template	C
		10085	诅咒撢子	E	raw:附有这张卡的宝可梦受到对手的宝可梦招式的伤害而【昏厥】时，在不看正面的情况下，从对手的手牌选择1张，将其丢弃。	G
		3114	诅咒之铲	E	tool_template	D
		5165	诅咒之符	E	tool_template	B
