#dtl1
CSM1DC-324	这张卡牌，可被视作2个【无】能量。					起始卡组 横空出世GX	无标记		A	Double Colorless Energy
CSM1.5C-059	只要这张卡牌，被附着于宝可梦身上，就可被视作1个【雷】【超】【钢】3种属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					对战精英	U		B	Unit Energy LPM
CSM1.5C-087	只要这张卡牌，被附着于宝可梦身上，就可被视作1个【雷】【超】【钢】3种属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					对战精英	UR		B	Unit Energy LPM
CSM1cC-151	这张卡牌，可被视作1个【无】能量。\n\n身上放有这张卡牌的宝可梦，可以使用所有进化前拥有的招式。[需要满足使用招式所需能量。]					横空出世 泽	C		B	Memory Energy
CSM1cC-150	这张卡牌，可被视作1个【无】能量。\n\n只要这张卡牌，被附着于【2阶进化】宝可梦身上，就可被视作1个所有属性的能量。如果在自己场上有3只以上（包含3只）【2阶进化】宝可梦的话，则可被视作4个所有属性的能量。					横空出世 泽	PR	Prism Star	B	Super Boost Energy Prism Star
CSM2cC-150	这张卡牌，只能附着于进化宝可梦身上，附着的回合结束时将这张卡牌放于弃牌区。\n\n只要这张卡牌被附着于宝可梦身上就被视作3个【无】能量。\n\n（如果将这张卡牌附着于进化宝可梦之外的宝可梦身上的话，则将其放于弃牌区。）					交相辉映 唤	U		C	Triple Acceleration Energy
CSM2cC-192	这张卡牌，只能附着于进化宝可梦身上，附着的回合结束时将这张卡牌放于弃牌区。\n\n只要这张卡牌被附着于宝可梦身上就被视作3个【无】能量。\n\n（如果将这张卡牌附着于进化宝可梦之外的宝可梦身上的话，则将其放于弃牌区。）					交相辉映 唤	UR		C	Triple Acceleration Energy
CSM2.5C-061	这张卡牌可以被视为1个【无】能量。\n\n身上放有这张卡牌的宝可梦的弱点，全部消除。					炫奇争胜	U		C	Weakness Guard Energy
CSM2.5C-099	这张卡牌可以被视为1个【无】能量。\n\n身上放有这张卡牌的宝可梦的弱点，全部消除。					炫奇争胜	UR		C	Weakness Guard Energy
CSM2aC-150	这张卡牌可以被视为1个【无】能量。\n\n当这张卡牌，要被从场上放于弃牌区时，不会被放于弃牌区，而是被放回手牌。					交相辉映 沐	U		C	Recycle Energy
CSM2aC-194	这张卡牌可以被视为1个【无】能量。\n\n当这张卡牌，要被从场上放于弃牌区时，不会被放于弃牌区，而是被放回手牌。					交相辉映 沐	UR		C	Recycle Energy
CSM2bC-150	这张卡牌可以被视为1个【无】能量。\n\n当把这张卡牌从手牌附着于宝可梦身上时，从自己的牌库上方抽取1张卡牌。					交相辉映 魁	C		C	Draw Energy
CSM2bC-193	这张卡牌可以被视为1个【无】能量。\n\n当把这张卡牌从手牌附着于宝可梦身上时，从自己的牌库上方抽取1张卡牌。					交相辉映 魁	UR		C	Draw Energy
CS1bC-136	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n如果被附着于「宝可梦V・GX」身上的话，则被视作1个【无】能量。					极巨争锋 焰	U		D	Twin Energy
CS1bC-199	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n如果被附着于「宝可梦V・GX」身上的话，则被视作1个【无】能量。					极巨争锋 焰	UR		D	Twin Energy
CSCC-018	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n如果被附着于「宝可梦V・GX」身上的话，则被视作1个【无】能量。					卡组构筑礼盒 洪荒演武 激	无标记		D	Twin Energy
CS2aC-114	只要这张卡牌，被附着于宝可梦身上，就被视作1个【斗】能量。\n\n身上附有这张卡牌的【斗】宝可梦，受到对手宝可梦的招式的伤害「-20」。					浓墨重彩 黎	U		D	Stone Fighting Energy
CS2aC-115	只要这张卡牌，被附着于宝可梦身上，就视作1个【无】能量。\n\n身上附有这张卡牌的【无】宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+20」。					浓墨重彩 黎	U		D	Powerful Colorless Energy
CS3DC-169	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的【无】宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+20」。					起始卡组 洪荒演武V	无标记		D	Powerful Colorless Energy
CS1.5C-054	只要这张卡牌，被附着于宝可梦身上，就会被视作1个【超】能量。\n\n身上附有这张卡牌的【超】宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。					极巨攻防	U		D	Horror Psychic Energy
CS1.5C-055	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当把这张卡牌从手牌附着于宝可梦身上时，选择自己牌库中的1张【基础】宝可梦，放于备战区。并重洗牌库。					极巨攻防	U		D	Capture Energy
CS1.5C-096	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当把这张卡牌从手牌附着于宝可梦身上时，选择自己牌库中的1张【基础】宝可梦，放于备战区。并重洗牌库。					极巨攻防	UR		D	Capture Energy
CS3DC-168	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当把这张卡牌从手牌附着于宝可梦身上时，选择自己牌库中的1张【基础】宝可梦，放于备战区。并重洗牌库。					起始卡组 洪荒演武V	无标记		D	Capture Energy
CSBC-019	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当把这张卡牌从手牌附着于宝可梦身上时，选择自己牌库中的1张【基础】宝可梦，放于备战区。并重洗牌库。					卡组构筑礼盒 洪荒演武 茂	无标记		D	Capture Energy
CS1DC-207	当要将这张卡牌，从手牌附着于宝可梦身上时，必须将自己的1张手牌放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量。					起始卡组 极巨争锋V	无标记		D	Aurora Energy
CS1aC-135	当要将这张卡牌，从手牌附着于宝可梦身上时，必须将自己的1张手牌放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量。					极巨争锋 雷	U		D	Aurora Energy
CS3DC-167	当要将这张卡牌，从手牌附着于宝可梦身上时，必须将自己的1张手牌放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量。					起始卡组 洪荒演武V	无标记		D	Aurora Energy
CSAC-024	当要将这张卡牌，从手牌附着于宝可梦身上时，必须将自己的1张手牌放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量。					卡组构筑礼盒 极巨争锋	无标记		D	Aurora Energy
CS2.5C-059	只要这张卡牌，被附着于宝可梦身上，就会被视作1个【钢】能量。\n\n身上附有这张卡牌的【钢】宝可梦的弱点，全部消除。					璀璨反击	U		D	Coating Metal Energy
CS2bC-114	只要这张卡牌，被附着于宝可梦身上，就被视作1个【水】能量。\n\n身上附有这张卡牌的【水】宝可梦，不受到对手宝可梦所使用的招式的效果影响。（已经受到的效果，不会消失。）					浓墨重彩 靛	U		D	Wash Water Energy
CS2bC-115	只要这张卡牌，被附着于宝可梦身上，就被视作1个【恶】能量。\n\n身上附有这张卡牌的【恶】宝可梦的【撤退】所需能量，全部消除。					浓墨重彩 靛	U		D	Hiding Darkness Energy
CS2.5C-058	只要这张卡牌，被附着于宝可梦身上，就会被视作1个【草】能量。\n\n身上附有这张卡牌的【草】宝可梦，不会陷入特殊状态，已经处于的特殊状态，也全部恢复。					璀璨反击	U		D	Aromatic Grass Energy
CS1.5C-052	只要这张卡牌，被附着于宝可梦身上，就会被视作1个【火】能量。\n\n身上附有这张卡牌的【火】宝可梦的最大HP增加「20」点。					极巨攻防	U		D	Heat Fire Energy
CS1.5C-053	只要这张卡牌，被附着于宝可梦身上，就会被视作1个【雷】能量。\n\n当把这张卡牌从手牌附着于【雷】宝可梦身上时，从自己的牌库上方抽取2张卡牌。					极巨攻防	U		D	Speed Lightning Energy
CS3DC-166	这张卡牌只能附着于「一击」宝可梦身上，如果这张卡牌附着于「一击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作1个【斗】【恶】2种属性的能量，且身上附有这张卡牌的宝可梦使用的招式，给对手战斗宝可梦造成的伤害「+20」。					起始卡组 洪荒演武V	无标记		E	Single Strike Energy
CS3aC-125	这张卡牌只能附着于「一击」宝可梦身上，如果这张卡牌附着于「一击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作1个【斗】【恶】2种属性的能量，且身上附有这张卡牌的宝可梦使用的招式，给对手战斗宝可梦造成的伤害「+20」。					洪荒演武 茂	U		E	Single Strike Energy
CS3aC-184	这张卡牌只能附着于「一击」宝可梦身上，如果这张卡牌附着于「一击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作1个【斗】【恶】2种属性的能量，且身上附有这张卡牌的宝可梦使用的招式，给对手战斗宝可梦造成的伤害「+20」。					洪荒演武 茂	UR		E	Single Strike Energy
CS4DaC-412	这张卡牌只能附着于「一击」宝可梦身上，如果这张卡牌附着于「一击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作1个【斗】【恶】2种属性的能量，且身上附有这张卡牌的宝可梦使用的招式，给对手战斗宝可梦造成的伤害「+20」。					起始卡组100	无标记		E	Single Strike Energy
CSBC-018	这张卡牌只能附着于「一击」宝可梦身上，如果这张卡牌附着于「一击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作1个【斗】【恶】2种属性的能量，且身上附有这张卡牌的宝可梦使用的招式，给对手战斗宝可梦造成的伤害「+20」。					卡组构筑礼盒 洪荒演武 茂	无标记		E	Single Strike Energy
CSVE1C-171	这张卡牌只能附着于「一击」宝可梦身上，如果这张卡牌附着于「一击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作1个【斗】【恶】2种属性的能量，且身上附有这张卡牌的宝可梦使用的招式，给对手战斗宝可梦造成的伤害「+20」。					对战派对 共梦	无标记		E	Single Strike Energy
CS3.5C-064	这张卡牌只能附着于「一击」宝可梦身上，如果这张卡牌附着于「一击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量，身上附有这张卡牌的宝可梦不会陷入【中毒】状态，已经处于的【中毒】状态，也全部恢复。					怒炎灼天	U		E	Impact Energy
CS4aC-132	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n在自己的回合，当从反面朝上的自己的奖赏卡中拿取了这张卡牌时，在加入手牌前，可将这张卡牌附着于自己的宝可梦身上。					九彩汇聚 朋	U		E	Treasure Energy
CSVH3C-063	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n在自己的回合，当从反面朝上的自己的奖赏卡中拿取了这张卡牌时，在加入手牌前，可将这张卡牌附着于自己的宝可梦身上。					嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		E	Treasure Energy
CS3.5C-066	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，从自己的牌库上方抽取1张卡牌。					怒炎灼天	U		E	Lucky Energy
CS4DaC-413	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，从自己的牌库上方抽取1张卡牌。					起始卡组100	无标记		E	Lucky Energy
CSVE2C-206	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，从自己的牌库上方抽取1张卡牌。					对战派对 耀梦	无标记		E	Lucky Energy
CSVH3C-064	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，从自己的牌库上方抽取1张卡牌。					嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		E	Lucky Energy
CS4bC-132	这张卡牌只能附着于「汇流」宝可梦身上，如果这张卡牌附着于「汇流」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量，且身上附有这张卡牌的宝可梦，不会受到对手宝可梦的特性的效果影响。					九彩汇聚 源	U		E	Fusion Strike Energy
CSOC-019	这张卡牌只能附着于「汇流」宝可梦身上，如果这张卡牌附着于「汇流」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量，且身上附有这张卡牌的宝可梦，不会受到对手宝可梦的特性的效果影响。					卡组构筑进阶礼盒 汇流	无标记		E	Fusion Strike Energy
CSVE1C-175	这张卡牌只能附着于「汇流」宝可梦身上，如果这张卡牌附着于「汇流」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量，且身上附有这张卡牌的宝可梦，不会受到对手宝可梦的特性的效果影响。					对战派对 共梦	无标记		E	Fusion Strike Energy
CSVE1pC-023	这张卡牌只能附着于「汇流」宝可梦身上，如果这张卡牌附着于「汇流」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量，且身上附有这张卡牌的宝可梦，不会受到对手宝可梦的特性的效果影响。					对战派对 共梦 奖赏包	无标记		E	Fusion Strike Energy
CS3.5C-065	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量，身上附有这张卡牌的宝可梦不会陷入【麻痹】状态，已经处于的【麻痹】状态，也全部恢复。					怒炎灼天	U		E	Spiral Energy
CSVE1C-173	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量，身上附有这张卡牌的宝可梦不会陷入【麻痹】状态，已经处于的【麻痹】状态，也全部恢复。					对战派对 共梦	无标记		E	Spiral Energy
CS3DC-170	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作2个【水】【斗】2种属性的能量。					起始卡组 洪荒演武V	无标记		E	Rapid Strike Energy
CS3bC-122	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作2个【水】【斗】2种属性的能量。					洪荒演武 激	U		E	Rapid Strike Energy
CS3bC-179	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作2个【水】【斗】2种属性的能量。					洪荒演武 激	UR		E	Rapid Strike Energy
CS4DaC-414	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作2个【水】【斗】2种属性的能量。					起始卡组100	无标记		E	Rapid Strike Energy
CSCC-019	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作2个【水】【斗】2种属性的能量。					卡组构筑礼盒 洪荒演武 激	无标记		E	Rapid Strike Energy
CSVE1C-177	这张卡牌只能附着于「连击」宝可梦身上，如果这张卡牌附着于「连击」宝可梦之外的宝可梦身上的话，则将其放于弃牌区。\n\n只要这张卡牌，被附着于宝可梦身上，就被视作2个【水】【斗】2种属性的能量。					对战派对 共梦	无标记		E	Rapid Strike Energy
CS6.5C-072	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，受到对手「宝可梦V」的招式的伤害「-30」。这个效果，无论身上附有多少张「V防守能量」，都不会叠加。					胜象星引	U		F	V Guard Energy
CS6.5C-096	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，受到对手「宝可梦V」的招式的伤害「-30」。这个效果，无论身上附有多少张「V防守能量」，都不会叠加。					胜象星引	UR		F	V Guard Energy
CS5DC-153	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					起始卡组 勇魅群星V	无标记		F	Double Turbo Energy
CS5aC-127	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					勇魅群星 魅	U		F	Double Turbo Energy
CS5aC-176	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					勇魅群星 魅	UR		F	Double Turbo Energy
CSNC-024	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					卡组构筑礼盒 勇魅群星	无标记		F	Double Turbo Energy
CSOC-018	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					卡组构筑进阶礼盒 汇流	无标记		F	Double Turbo Energy
CSVE1C-174	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					对战派对 共梦	无标记		F	Double Turbo Energy
CSVE2C-205	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					对战派对 耀梦	无标记		F	Double Turbo Energy
CSVH3C-062	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		F	Double Turbo Energy
CSVM1cC-028	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					大师战略卡组构筑套装 密勒顿ex	无标记		F	Double Turbo Energy
CSZC-058	只要这张卡牌，被附着于宝可梦身上，就被视作2个【无】能量。\n\n身上附有这张卡牌的宝可梦所使用的招式，给对手的宝可梦造成的伤害「-20」。					收藏周边礼盒 百变宝盒	无标记		F	Double Turbo Energy
CS6bC-131	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n每当身上附有这张卡牌的「宝可梦V」，进化成从手牌使出的宝可梦时，回复那只宝可梦「100」点HP。					碧海暗影 逐	U		F	Regenerative Energy
CS6aC-131	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，从牌库上方抽取卡牌，直到自己的手牌变为7张为止。					碧海暗影 啸	U		F	Gift Energy
CSVE1C-172	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，从牌库上方抽取卡牌，直到自己的手牌变为7张为止。					对战派对 共梦	无标记		F	Gift Energy
CSVE2C-202	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，从牌库上方抽取卡牌，直到自己的手牌变为7张为止。					对战派对 耀梦	无标记		F	Gift Energy
CSZC-057	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n身上附有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，从牌库上方抽取卡牌，直到自己的手牌变为7张为止。					收藏周边礼盒 百变宝盒	无标记		F	Gift Energy
CSV5C-129	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当将这张卡牌从手牌附着于宝可梦身上时，回复那只宝可梦「30」HP。					黑晶炽诚	U		G	Medical Energy
CSV4C-129	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当将这张卡牌从手牌附着于备战宝可梦身上时，将该宝可梦与战斗宝可梦互换。					嘉奖回合	U		G	Jet Energy
CSV8C-263	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当将这张卡牌从手牌附着于备战宝可梦身上时，将该宝可梦与战斗宝可梦互换。					璀璨诡幻	UR		G	Jet Energy
CSV9.5C-206	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当将这张卡牌从手牌附着于备战宝可梦身上时，将该宝可梦与战斗宝可梦互换。					太晶盛聚	U		G	Jet Energy
CSVE2C-203	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当将这张卡牌从手牌附着于备战宝可梦身上时，将该宝可梦与战斗宝可梦互换。					对战派对 耀梦	无标记		G	Jet Energy
CSVH3C-061	只要这张卡牌，被附着于宝可梦身上，就被视作1个【无】能量。\n\n当将这张卡牌从手牌附着于备战宝可梦身上时，将该宝可梦与战斗宝可梦互换。					嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		G	Jet Energy
CBB3C-2003	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。 如果身上附着了这张卡牌的宝可梦，身上还附着了除这张卡牌以外的特殊能量的话，则这张卡牌被视作1个【无】能量。					宝石包 VOL.3	★★★		G	Luminous Energy
CBB3C-2006	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。 如果身上附着了这张卡牌的宝可梦，身上还附着了除这张卡牌以外的特殊能量的话，则这张卡牌被视作1个【无】能量。					宝石包 VOL.3	★★★		G	Luminous Energy
CSV1C-127	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。\n\n如果身上附着了这张卡牌宝可梦，身上附着了除这张卡牌以外的特殊能量的话，则这张卡牌被视作1个【无】能量。					亘古开来	U		G	Luminous Energy
CSV8C-264	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。\n\n如果身上附着了这张卡牌的宝可梦，身上还附着了除这张卡牌以外的特殊能量的话，则这张卡牌被视作1个【无】能量。					璀璨诡幻	UR		G	Luminous Energy
CSVE1C-176	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。\n\n如果身上附着了这张卡牌的宝可梦，身上还附着了除这张卡牌以外的特殊能量的话，则这张卡牌被视作1个【无】能量。					对战派对 共梦	无标记		G	Luminous Energy
CSVH1C-059	只要这张卡牌，被附着于宝可梦身上，就被视作1个所有属性的能量。\n如果身上附着了这张卡牌的宝可梦，身上还附着了除这张卡牌以外的特殊能量的话，则这张卡牌被视作1个【无】能量。					嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记		G	Luminous Energy
