#dtl1
CSVE1C-FIR						对战派对 共梦	无标记			Fire Energy
CSVH1C-FIR						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记			Fire Energy
CSVH1pC-FIR						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Fire Energy
CSVL1C-FIR						启程专题包	无标记			Fire Energy
CSM2.1C-037						辉金能量系列礼盒	无标记		C	Grass Energy
CSMAC-GRA						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Grass Energy
CSMPiC-016						对战派对组合 奖赏包	无标记		C	Grass Energy
CSMPiC-035						对战派对组合 奖赏包	无标记		C	Grass Energy
CS2DaC-GRA						宝可梦卡牌 家庭组合	无标记		E	Grass Energy
CS4DaC-426						起始卡组100	无标记		F	Grass Energy
CS4DaC-GRA						起始卡组100	无标记		F	Grass Energy
CS6.1C-005						辉耀能量系列礼盒 第三弹	无标记		F	Grass Energy
CS6aC-168						碧海暗影 啸	UR		F	Grass Energy
CSZC-059						收藏周边礼盒 百变宝盒	无标记		F	Grass Energy
CBB1C-1801						宝石包 VOL.1	★★★		G	Grass Energy
CBB1C-1804						宝石包 VOL.1	★★★		G	Grass Energy
CSVH1C-GRA						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记		G	Grass Energy
CSVH5C-GRA						嗨皮组合 快龙&超梦&喷火驼&来悲粗茶	无标记		G	Grass Energy
CSVH5C-NaN1						嗨皮组合 快龙&超梦&喷火驼&来悲粗茶	无标记		G	Grass Energy
CSVL1C-126						启程专题包	无标记		G	Grass Energy
CSVL2C-132						游历专题包	无标记		G	Grass Energy
SVP-GRA							无标记		G	Grass Energy
SVP-GRA-1							无标记		G	Grass Energy
SVP-GRA-2							无标记		G	Grass Energy
SVP-GRA-3							无标记		G	Grass Energy
CSVH4C-GRA						嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	无标记		H	Grass Energy
CSVH4pC-GRA						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Grass Energy
CSVSC-GRA						对战学院	无标记		H	Grass Energy
CSAC-GRA						卡组构筑礼盒 极巨争锋	无标记			Grass Energy
CSM1DC-GRA						起始卡组 横空出世GX	无标记			Grass Energy
CSVE1C-GRA						对战派对 共梦	无标记			Grass Energy
CSVH1pC-GRA						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Grass Energy
CSVL1C-GRA						启程专题包	无标记			Grass Energy
SMP-047							无标记		A	Lightning Energy
CSM2.1C-040						辉金能量系列礼盒	无标记		C	Lightning Energy
CSMAC-LIG						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Lightning Energy
CSMPiC-019						对战派对组合 奖赏包	无标记		C	Lightning Energy
CSMPiC-038						对战派对组合 奖赏包	无标记		C	Lightning Energy
SSP-038							无标记		D	Lightning Energy
SSP-076							无标记		D	Lightning Energy
CS2DaC-LIG						宝可梦卡牌 家庭组合	无标记		E	Lightning Energy
CS4bC-176						九彩汇聚 源	UR		E	Lightning Energy
CS4DaC-429						起始卡组100	无标记		F	Lightning Energy
CS4DaC-LIG						起始卡组100	无标记		F	Lightning Energy
CS6.1C-006						辉耀能量系列礼盒 第三弹	无标记		F	Lightning Energy
CSZC-062						收藏周边礼盒 百变宝盒	无标记		F	Lightning Energy
CBB2C-1101						宝石包 VOL.2	★★★		G	Lightning Energy
CBB2C-1104						宝石包 VOL.2	★★★		G	Lightning Energy
CSVE1pC-012						对战派对 共梦 奖赏包	无标记		G	Lightning Energy
CSVH1C-LIG						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记		G	Lightning Energy
CSVH5C-LIG						嗨皮组合 快龙&超梦&喷火驼&来悲粗茶	无标记		G	Lightning Energy
CSVL1C-129						启程专题包	无标记		G	Lightning Energy
CSVL2C-135						游历专题包	无标记		G	Lightning Energy
SVP-LIG							无标记		G	Lightning Energy
SVP-LIG-1							无标记		G	Lightning Energy
SVP-LIG-2							无标记		G	Lightning Energy
SVP-LIG-3							无标记		G	Lightning Energy
CSVH4C-LIG						嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	无标记		H	Lightning Energy
CSVH4pC-LIG						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Lightning Energy
CSVSC-LIG						对战学院	无标记		H	Lightning Energy
CSAC-LIG						卡组构筑礼盒 极巨争锋	无标记			Lightning Energy
CSM1DC-LIG						起始卡组 横空出世GX	无标记			Lightning Energy
CSVE1C-LIG						对战派对 共梦	无标记			Lightning Energy
CSVH1pC-LIG						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Lightning Energy
CSVL1C-LIG						启程专题包	无标记			Lightning Energy
CSM2.1C-044						辉金能量系列礼盒	无标记		C	Metal Energy
CSMAC-MET						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Metal Energy
CSMPiC-023						对战派对组合 奖赏包	无标记		C	Metal Energy
CSMPiC-042						对战派对组合 奖赏包	无标记		C	Metal Energy
CS4DaC-433						起始卡组100	无标记		F	Metal Energy
CS4DaC-MET						起始卡组100	无标记		F	Metal Energy
CS6.1C-007						辉耀能量系列礼盒 第三弹	无标记		F	Metal Energy
CS6aC-169						碧海暗影 啸	UR		F	Metal Energy
CSZC-066						收藏周边礼盒 百变宝盒	无标记		F	Metal Energy
CBB3C-2002						宝石包 VOL.3	★★★		G	Metal Energy
CBB3C-2005						宝石包 VOL.3	★★★		G	Metal Energy
CSVH1C-MET						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记		G	Metal Energy
CSVH3C-MET						嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		G	Metal Energy
CSVL1C-133						启程专题包	无标记		G	Metal Energy
CSVL2C-139						游历专题包	无标记		G	Metal Energy
SVP-MET							无标记		G	Metal Energy
SVP-MET-1							无标记		G	Metal Energy
SVP-MET-2							无标记		G	Metal Energy
SVP-MET-3							无标记		G	Metal Energy
CSVH4C-MET						嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	无标记		H	Metal Energy
CSVH4pC-MET						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Metal Energy
CSVSC-MET						对战学院	无标记		H	Metal Energy
CSAC-MET						卡组构筑礼盒 极巨争锋	无标记			Metal Energy
CSM1DC-MET						起始卡组 横空出世GX	无标记			Metal Energy
CSVE1C-MET						对战派对 共梦	无标记			Metal Energy
CSVH1pC-MET						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Metal Energy
CSVL1C-MET						启程专题包	无标记			Metal Energy
CSM2.1C-041						辉金能量系列礼盒	无标记		C	Psychic Energy
CSMAC-PSY						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Psychic Energy
CSMPiC-020						对战派对组合 奖赏包	无标记		C	Psychic Energy
CSMPiC-039						对战派对组合 奖赏包	无标记		C	Psychic Energy
CS4bC-177						九彩汇聚 源	UR		E	Psychic Energy
CS4DaC-430						起始卡组100	无标记		F	Psychic Energy
CS4DaC-PSY						起始卡组100	无标记		F	Psychic Energy
CSZC-063						收藏周边礼盒 百变宝盒	无标记		F	Psychic Energy
CBB2C-1102						宝石包 VOL.2	★★★		G	Psychic Energy
CBB2C-1105						宝石包 VOL.2	★★★		G	Psychic Energy
CSVE1pC-024						对战派对 共梦 奖赏包	无标记		G	Psychic Energy
CSVH1C-PSY						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记		G	Psychic Energy
CSVH3C-PSY						嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		G	Psychic Energy
CSVH5C-PSY						嗨皮组合 快龙&超梦&喷火驼&来悲粗茶	无标记		G	Psychic Energy
CSVL1C-130						启程专题包	无标记		G	Psychic Energy
CSVL2C-136						游历专题包	无标记		G	Psychic Energy
SVP-PSY							无标记		G	Psychic Energy
SVP-PSY-1							无标记		G	Psychic Energy
SVP-PSY-2							无标记		G	Psychic Energy
SVP-PSY-3							无标记		G	Psychic Energy
CSVH4C-PSY						嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	无标记		H	Psychic Energy
CSVH4pC-PSY						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Psychic Energy
CSVSC-PSY						对战学院	无标记		H	Psychic Energy
CS4.1C-006						辉耀能量系列礼盒	无标记			Psychic Energy
CSAC-PSY						卡组构筑礼盒 极巨争锋	无标记			Psychic Energy
CSM1DC-PSY						起始卡组 横空出世GX	无标记			Psychic Energy
CSVE1C-PSY						对战派对 共梦	无标记			Psychic Energy
CSVH1pC-PSY						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Psychic Energy
CSVL1C-PSY						启程专题包	无标记			Psychic Energy
CSM2.1C-039						辉金能量系列礼盒	无标记		C	Water Energy
CSMAC-WAT						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Water Energy
CSMPiC-018						对战派对组合 奖赏包	无标记		C	Water Energy
CSMPiC-037						对战派对组合 奖赏包	无标记		C	Water Energy
CS2DaC-WAT						宝可梦卡牌 家庭组合	无标记		E	Water Energy
CS4DaC-428						起始卡组100	无标记		F	Water Energy
CS4DaC-WAT						起始卡组100	无标记		F	Water Energy
CS6bC-171						碧海暗影 逐	UR		F	Water Energy
CSZC-061						收藏周边礼盒 百变宝盒	无标记		F	Water Energy
CBB1C-1803						宝石包 VOL.1	★★★		G	Water Energy
CBB1C-1806						宝石包 VOL.1	★★★		G	Water Energy
CSVE2pC-024						对战派对 耀梦 奖赏包	无标记		G	Water Energy
CSVH3C-WAT						嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		G	Water Energy
CSVH5C-WAT						嗨皮组合 快龙&超梦&喷火驼&来悲粗茶	无标记		G	Water Energy
CSVL1C-128						启程专题包	无标记		G	Water Energy
CSVL2C-134						游历专题包	无标记		G	Water Energy
SVP-WAT							无标记		G	Water Energy
SVP-WAT-1							无标记		G	Water Energy
SVP-WAT-2							无标记		G	Water Energy
SVP-WAT-3							无标记		G	Water Energy
CSVH4pC-WAT						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Water Energy
CSVSC-WAT						对战学院	无标记		H	Water Energy
CS4.1C-005						辉耀能量系列礼盒	无标记			Water Energy
CSAC-WAT						卡组构筑礼盒 极巨争锋	无标记			Water Energy
CSM1DC-WAT						起始卡组 横空出世GX	无标记			Water Energy
CSVE1C-WAT						对战派对 共梦	无标记			Water Energy
CSVH1C-WAT						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记			Water Energy
CSVH1pC-WAT						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Water Energy
CSVL1C-WAT						启程专题包	无标记			Water Energy
