#set1
set_code	name	series	release_date
CSVSC	对战学院	Scarlet & Violet	2026-01-16
CSV6C	真实玄虚	Scarlet & Violet	2025-11-07
CSVL2C	游历专题包	Scarlet & Violet	2025-11-07
CBB3C	宝石包 VOL.3	Scarlet & Violet	2025-09-26
CSV5C	黑晶炽诚	Scarlet & Violet	2025-09-12
CSVH3C	嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	Scarlet & Violet	2025-09-12
CSVH3aC	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 改造包	Scarlet & Violet	2025-09-12
CSVH3pC	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 奖赏包	Scarlet & Violet	2025-09-12
CSV4C	嘉奖回合	Scarlet & Violet	2025-07-18
CSVE2C	对战派对 耀梦	Scarlet & Violet	2025-07-18
CSVE2pC	对战派对 耀梦 奖赏包	Scarlet & Violet	2025-07-18
CSVL1C	启程专题包	Scarlet & Violet	2025-06-13
CBB2C	宝石包 VOL.2	Scarlet & Violet	2025-05-16
CSV3C	无畏太晶	Scarlet & Violet	2025-05-16
CSVH2C	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父	Scarlet & Violet	2025-05-16
CSVH2aC	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父 改造包	Scarlet & Violet	2025-05-16
CSVH2pC	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父 奖赏包	Scarlet & Violet	2025-05-16
CSV2C	奇迹启程	Scarlet & Violet	2025-03-21
CSVE1C	对战派对 共梦	Scarlet & Violet	2025-02-28
CSVE1pC	对战派对 共梦 奖赏包	Scarlet & Violet	2025-02-28
151C	收集啦151	Scarlet & Violet	2025-01-17
CBB1C	宝石包 VOL.1	Scarlet & Violet	2025-01-17
CSV1C	亘古开来	Scarlet & Violet	2025-01-17
CSVH1C	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	Scarlet & Violet	2025-01-17
CSVH1aC	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 改造包	Scarlet & Violet	2025-01-17
CSVH1pC	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	Scarlet & Violet	2025-01-17
CSXC	卡组构筑进阶礼盒 骑拉帝纳VSTAR	Sword & Shield	2024-12-21
CS0LC	皮在伊起 流沙卡牌展示挂件礼盒	Sword & Shield	2024-12-06
CSYC	精灵球/等级球礼盒 宝可梦艺术插画庆典 聚	Sword & Shield	2024-12-06
CS6.5C	胜象星引	Sword & Shield	2024-11-15
CSZC	收藏周边礼盒 百变宝盒	Sword & Shield	2024-11-15
CSUC	宝可梦卡牌展示套礼盒	Sword & Shield	2024-10-26
CS6.1C	辉耀能量系列礼盒 第三弹	Sword & Shield	2024-09-20
CS6aC	碧海暗影 啸	Sword & Shield	2024-09-20
CS6bC	碧海暗影 逐	Sword & Shield	2024-09-20
CS5.5C	暗影夺辉	Sword & Shield	2024-08-02
CS5.1C	辉耀能量系列礼盒 第二弹	Sword & Shield	2024-07-12
CSOC	卡组构筑进阶礼盒 汇流	Sword & Shield	2024-07-12
CSJC	精灵球/高级球礼盒 宝可梦艺术插画庆典 景	Sword & Shield	2024-06-28
CS5DC	起始卡组 勇魅群星V	Sword & Shield	2024-06-18
CS5aC	勇魅群星 魅	Sword & Shield	2024-06-18
CS5bC	勇魅群星 勇	Sword & Shield	2024-06-18
CSMC	宝可梦卡牌展示套礼盒	Sword & Shield	2024-06-18
CSNC	卡组构筑礼盒 勇魅群星	Sword & Shield	2024-06-18
CS4DaC	起始卡组100	Sword & Shield	2024-05-17
CSIC	训练家收藏礼盒	Sword & Shield	2024-05-17
CS4.5C	终末炎舞	Sword & Shield	2024-04-26
CSHC	伊布进阶礼盒	Sword & Shield	2024-04-26
CS4.1C	辉耀能量系列礼盒	Sword & Shield	2024-03-29
CS4aC	九彩汇聚 朋	Sword & Shield	2024-03-01
CS4bC	九彩汇聚 源	Sword & Shield	2024-03-01
CSFC	龙之再临系列礼盒	Sword & Shield	2024-03-01
CSGC	宝可梦卡牌展示套礼盒	Sword & Shield	2024-03-01
CSEC	四方联结系列礼盒	Sword & Shield	2024-01-19
CS3.5C	怒炎灼天	Sword & Shield	2024-01-05
CSMPjC	对战派对组合改造包 草	Sun & Moon	2023-12-16
CSMPkC	对战派对组合改造包 火	Sun & Moon	2023-12-16
CSMPlC	对战派对组合改造包 水	Sun & Moon	2023-12-16
CSMPmC	对战派对组合改造包 雷	Sun & Moon	2023-12-16
CSMPnC	对战派对组合改造包 超	Sun & Moon	2023-12-16
CSMPoC	对战派对组合改造包 斗	Sun & Moon	2023-12-16
CSMPpC	对战派对组合改造包 恶	Sun & Moon	2023-12-16
CSMPqC	对战派对组合改造包 钢	Sun & Moon	2023-12-16
CSDC	精灵球/超级球礼盒 皮卡丘传奇庆典	Sword & Shield	2023-12-08
CS2.1C	专题包 喵喵小妙招	Sword & Shield	2023-11-17
CS2DaC	宝可梦卡牌 家庭组合	Sword & Shield	2023-11-17
CS3DC	起始卡组 洪荒演武V	Sword & Shield	2023-11-17
CS3aC	洪荒演武 茂	Sword & Shield	2023-11-17
CS3bC	洪荒演武 激	Sword & Shield	2023-11-17
CSBC	卡组构筑礼盒 洪荒演武 茂	Sword & Shield	2023-11-17
CSCC	卡组构筑礼盒 洪荒演武 激	Sword & Shield	2023-11-17
CS2.5C	璀璨反击	Sword & Shield	2023-09-29
CSM2.1C	辉金能量系列礼盒	Sun & Moon	2023-09-09
CS2aC	浓墨重彩 黎	Sword & Shield	2023-08-18
CS2bC	浓墨重彩 靛	Sword & Shield	2023-08-18
CS1.5C	极巨攻防	Sword & Shield	2023-06-28
CS1DC	起始卡组 极巨争锋V	Sword & Shield	2023-05-19
CS1aC	极巨争锋 雷	Sword & Shield	2023-05-19
CS1bC	极巨争锋 焰	Sword & Shield	2023-05-19
CSAC	卡组构筑礼盒 极巨争锋	Sword & Shield	2023-05-19
CSMPaC	对战派对组合 草	Sun & Moon	2023-04-15
CSMPbC	对战派对组合 火	Sun & Moon	2023-04-15
CSMPcC	对战派对组合 水	Sun & Moon	2023-04-15
CSMPdC	对战派对组合 雷	Sun & Moon	2023-04-15
CSMPeC	对战派对组合 超	Sun & Moon	2023-04-15
CSMPfC	对战派对组合 斗	Sun & Moon	2023-04-15
CSMPgC	对战派对组合 恶	Sun & Moon	2023-04-15
CSMPhC	对战派对组合 钢	Sun & Moon	2023-04-15
CSMPiC	对战派对组合 奖赏包	Sun & Moon	2023-04-15
CSM2.5C	炫奇争胜	Sun & Moon	2023-03-17
CSMAC	卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	Sun & Moon	2023-03-17
CSMJC	精灵球礼盒 闪耀宝可梦	Sun & Moon	2023-03-17
CSM2DC	起始卡组 交相辉映GX	Sun & Moon	2023-01-18
CSM2aC	交相辉映 沐	Sun & Moon	2023-01-18
CSM2bC	交相辉映 魁	Sun & Moon	2023-01-18
CSM2cC	交相辉映 唤	Sun & Moon	2023-01-18
CSMYC	伊布GX套装礼盒	Sun & Moon	2023-01-06
CSM1.5C	对战精英	Sun & Moon	2022-12-16
CSMLC	莉莉艾的声援专属礼盒	Sun & Moon	2022-11-11
CSM1DC	起始卡组 横空出世GX	Sun & Moon	2022-10-28
CSM1aC	横空出世 赫	Sun & Moon	2022-10-28
CSM1bC	横空出世 苍	Sun & Moon	2022-10-28
CSM1cC	横空出世 泽	Sun & Moon	2022-10-28
30thP	30thP		
SMP	SMP		
SSP	SSP		
SVP	SVP		
