#srch1
CSV10C-190	n的pp提升剂 item csv10c i
CSM1aC-206	巢穴球 nest ball item csm1ac a
CSM2.1C-007	巢穴球 nest ball item csm2 1c a
CSM2DC-256	巢穴球 nest ball item csm2dc a
CSMPbC-009	巢穴球 nest ball item csmpbc a
CSMPcC-013	巢穴球 nest ball item csmpcc a
CSMPdC-009	巢穴球 nest ball item csmpdc a
CSMPfC-008	巢穴球 nest ball item csmpfc a
CSMPgC-009	巢穴球 nest ball item csmpgc a
CSMPhC-012	巢穴球 nest ball item csmphc a
CBB3C-1902	巢穴球 nest ball item cbb3c g
CSV2C-110	巢穴球 nest ball item csv2c g
CSV4C-163	巢穴球 nest ball item csv4c g
CSVE1C-117	巢穴球 nest ball item csve1c g
CSVE1pC-020	巢穴球 nest ball item csve1pc g
CSVE2C-153	巢穴球 nest ball item csve2c g
CSVH1C-043	巢穴球 nest ball item csvh1c g
CSVH2C-043	巢穴球 nest ball item csvh2c g
CSVH3C-042	巢穴球 nest ball item csvh3c g
CSVH4C-036	巢穴球 nest ball item csvh4c g
CSVH5C-041	巢穴球 nest ball item csvh5c g
CSVM1aC-014	巢穴球 nest ball item csvm1ac g
CSVM1bC-019	巢穴球 nest ball item csvm1bc g
CSVM1cC-012	巢穴球 nest ball item csvm1cc g
CSVM2aC-018	巢穴球 nest ball item csvm2ac g
CSVM2bC-014	巢穴球 nest ball item csvm2bc g
CSVM2cC-015	巢穴球 nest ball item csvm2cc g
SVP-216	巢穴球 nest ball item svp g
SVP-230	巢穴球 nest ball item svp g
CSV7C-183	重启舱 reboot pod item csv7c h
CSM1DC-260	除虫喷雾 repel item csm1dc a
CSM2DC-267	除虫喷雾 repel item csm2dc a
CSV6C-115	大地容器 earthen vessel item  "ancient"  csv6c g
CSV7C-257	大地容器 earthen vessel item  "ancient"  csv7c g
CSV9.5C-162	大地容器 earthen vessel item  "ancient"  csv9 5c g
CSVH4C-034	大地容器 earthen vessel item  "ancient"  csvh4c g
CSVM1bC-017	大地容器 earthen vessel item  "ancient"  csvm1bc g
CSVM2aC-017	大地容器 earthen vessel item  "ancient"  csvm2ac g
CSVM2bC-012	大地容器 earthen vessel item  "ancient"  csvm2bc g
CSVM2cC-013	大地容器 earthen vessel item  "ancient"  csvm2cc g
SVP-152	大地容器 earthen vessel item  "ancient"  svp g
CSM1DC-251	打火石 fiery flint item csm1dc b
CSM1aC-124	打火石 fiery flint item csm1ac b
CSM2.1C-010	打火石 fiery flint item csm2 1c b
CSM2DC-259	打火石 fiery flint item csm2dc b
CSM2DC-356	打火石 fiery flint item csm2dc b
CSMPbC-011	打火石 fiery flint item csmpbc b
CSM1DC-234	大马拉萨达 big malasada item csm1dc a
CSM2DC-242	大马拉萨达 big malasada item csm2dc a
CS1.5C-047	道具拆除器 tool scrapper item cs1 5c d
CS1.5C-095	道具拆除器 tool scrapper item cs1 5c d
CSV7C-181	大师球 master ball item ace spec csv7c h
CBB2C-1002	等级球 level ball item cbb2c e
CS2.1C-009	等级球 level ball item cs2 1c e
CS2DaC-045	等级球 level ball item cs2dac e
CS3bC-107	等级球 level ball item cs3bc e
CS3bC-177	等级球 level ball item cs3bc e
CS4DaC-381	等级球 level ball item cs4dac e
CS5DC-133	等级球 level ball item cs5dc e
CSNC-017	等级球 level ball item csnc e
CSVE1C-125	等级球 level ball item csve1c e
CSVE1pC-010	等级球 level ball item csve1pc e
CSVE2C-162	等级球 level ball item csve2c e
CSXC-012	等级球 level ball item csxc e
CSYC-011	等级球 level ball item csyc e
CSZC-039	等级球 level ball item cszc e
CSM2.5C-047	电磁雷达 electromagnetic radar item csm2 5c c
CSM2.5C-095	电磁雷达 electromagnetic radar item csm2 5c c
CSMPmC-009	电磁雷达 electromagnetic radar item csmpmc c
CSMPmC-008	电气充电器 electrocharger item csmpmc b
CSV1C-107	电气发生器 electric generator item csv1c g
CSVE1C-108	电气发生器 electric generator item csve1c g
CSVE2C-141	电气发生器 electric generator item csve2c g
CSVE2pC-020	电气发生器 electric generator item csve2pc g
CSVH1C-037	电气发生器 electric generator item csvh1c g
CSVM1cC-010	电气发生器 electric generator item csvm1cc g
CSM1.5C-039	电气能量管 electropower item csm1 5c b
CSM1.5C-082	电气能量管 electropower item csm1 5c b
CSM2.1C-003	电气能量管 electropower item csm2 1c b
CSM2DC-241	电气能量管 electropower item csm2dc b
CSMPdC-008	电气能量管 electropower item csmpdc b
CS4DaC-374	掉包杯 switching cups item cs4dac e
CS4aC-118	掉包杯 switching cups item cs4ac e
CSVE2C-148	掉包杯 switching cups item csve2c e
CSV9.5C-163	钓竿max max rod item ace spec csv9 5c h
CSV10C-193	调换票 item csv10c i
CSVH5aC-010	调换票 redeemable ticket item csvh5ac i
CSM1DC-235	订购平板 order pad item csm1dc b
CSM1aC-121	订购平板 order pad item csm1ac b
CSM2DC-243	订购平板 order pad item csm2dc b
CSV7C-174	订购箱 boxed order item csv7c h
CSV7C-180	顶尖捕捉器 prime catcher item ace spec csv7c h
CSV9.5C-168	顶尖捕捉器 prime catcher item ace spec csv9 5c h
CSVM2aC-021	顶尖捕捉器 prime catcher item ace spec csvm2ac h
CSVM2cC-018	顶尖捕捉器 prime catcher item ace spec csvm2cc h
CS3aC-106	渡魂灯笼 welcoming lantern item  "single strike"  cs3ac e
CS3aC-180	渡魂灯笼 welcoming lantern item  "single strike"  cs3ac e
CS4.5C-052	对战会员通行证 battle vip pass item cs4 5c e
CS5.1C-023	对战会员通行证 battle vip pass item cs5 1c e
CS5DC-129	对战会员通行证 battle vip pass item cs5dc e
CSNC-013	对战会员通行证 battle vip pass item csnc e
CSOC-010	对战会员通行证 battle vip pass item csoc e
CSVE1pC-021	对战会员通行证 battle vip pass item csve1pc e
CSVE2C-156	对战会员通行证 battle vip pass item csve2c e
CSXC-009	对战会员通行证 battle vip pass item csxc e
CSZC-035	对战会员通行证 battle vip pass item cszc e
CSM1aC-127	多重转换 multi switch item csm1ac a
CSM2DC-266	多重转换 multi switch item csm2dc a
CSV8C-179	妨碍书信 meddling memo item csv8c h
CSVH5aC-011	妨碍书信 meddling memo item csvh5ac h
CSM1bC-127	放逐搅拌器 lost blender item csm1bc b
CS6bC-123	放逐吸尘器 lost vacuum item cs6bc f
CS6bC-170	放逐吸尘器 lost vacuum item cs6bc f
CSVM1aC-018	放逐吸尘器 lost vacuum item csvm1ac f
CSVM1bC-022	放逐吸尘器 lost vacuum item csvm1bc f
CSVM1cC-015	放逐吸尘器 lost vacuum item csvm1cc f
CSXC-013	放逐吸尘器 lost vacuum item csxc f
CSZC-040	放逐吸尘器 lost vacuum item cszc f
SSP-210	放逐吸尘器 lost vacuum item ssp f
CSM1DC-236	反击捕捉器 counter catcher item csm1dc a
CSM1cC-122	反击捕捉器 counter catcher item csm1cc a
CSM1cC-207	反击捕捉器 counter catcher item csm1cc a
CSM2DC-245	反击捕捉器 counter catcher item csm2dc a
CSMPnC-007	反击捕捉器 counter catcher item csmpnc a
CSV6C-114	反击捕捉器 counter catcher item csv6c g
CSV6C-162	反击捕捉器 counter catcher item csv6c g
CSV9.5C-159	反击捕捉器 counter catcher item csv9 5c g
CSVH4aC-008	反击捕捉器 counter catcher item csvh4ac g
CSVH5aC-009	反击捕捉器 counter catcher item csvh5ac g
CSVM1aC-011	反击捕捉器 counter catcher item csvm1ac g
CSVM1bC-015	反击捕捉器 counter catcher item csvm1bc g
CSVM2aC-015	反击捕捉器 counter catcher item csvm2ac g
CSVM2bC-011	反击捕捉器 counter catcher item csvm2bc g
CSVM2cC-011	反击捕捉器 counter catcher item csvm2cc g
CS5aC-116	飞羽球 feather ball item cs5ac f
SSP-196	飞羽球 feather ball item ssp f
CSM1DC-239	粉碎之锤 crushing hammer item csm1dc a
CSM1DC-334	粉碎之锤 crushing hammer item csm1dc a
CSM2DC-247	粉碎之锤 crushing hammer item csm2dc a
CS1DC-169	粉碎之锤 crushing hammer item cs1dc d
CS2DaC-041	粉碎之锤 crushing hammer item cs2dac d
CS4DaC-372	粉碎之锤 crushing hammer item cs4dac f
CSV1C-108	粉碎之锤 crushing hammer item csv1c g
CSVE2C-144	粉碎之锤 crushing hammer item csve2c g
CSVH1C-040	粉碎之锤 crushing hammer item csvh1c g
CSVH1aC-011	粉碎之锤 crushing hammer item csvh1ac g
CSVH2aC-009	粉碎之锤 crushing hammer item csvh2ac g
CSVSC-051	粉碎之锤 crushing hammer item csvsc g
CSM1DC-254	复活草 life herb item csm1dc b
CSM2DC-261	复活草 life herb item csm2dc b
CSM1aC-122	改造之锤 enhanced hammer item csm1ac a
CSM2.1C-004	改造之锤 enhanced hammer item csm2 1c a
CSM2DC-244	改造之锤 enhanced hammer item csm2dc a
CSV7C-175	改造之锤 enhanced hammer item csv7c h
CSV8C-259	改造之锤 enhanced hammer item csv8c h
CSV9.5C-158	改造之锤 enhanced hammer item csv9 5c h
CSM1DC-249	高级球 ultra ball item csm1dc a
CSM1cC-126	高级球 ultra ball item csm1cc a
CSM1cC-209	高级球 ultra ball item csm1cc a
CSM2.1C-009	高级球 ultra ball item csm2 1c a
CSM2DC-258	高级球 ultra ball item csm2dc a
CSMAC-005	高级球 ultra ball item csmac a
CSMPaC-011	高级球 ultra ball item csmpac a
CSMPbC-010	高级球 ultra ball item csmpbc a
CSMPcC-014	高级球 ultra ball item csmpcc a
CSMPdC-010	高级球 ultra ball item csmpdc a
CSMPeC-010	高级球 ultra ball item csmpec a
CSMPfC-009	高级球 ultra ball item csmpfc a
CSMPgC-010	高级球 ultra ball item csmpgc a
CS4DaC-375	高级球 ultra ball item cs4dac f
CS5DC-128	高级球 ultra ball item cs5dc f
CS5aC-115	高级球 ultra ball item cs5ac f
CS5bC-118	高级球 ultra ball item cs5bc f
CS5bC-175	高级球 ultra ball item cs5bc f
CSJC-010	高级球 ultra ball item csjc f
CSNC-012	高级球 ultra ball item csnc f
CSOC-009	高级球 ultra ball item csoc f
CSXC-008	高级球 ultra ball item csxc f
CSZC-034	高级球 ultra ball item cszc f
SSP-173	高级球 ultra ball item ssp f
CBB1C-1703	高级球 ultra ball item cbb1c g
CSV1C-112	高级球 ultra ball item csv1c g
CSVE1C-118	高级球 ultra ball item csve1c g
CSVE2C-154	高级球 ultra ball item csve2c g
CSVE2pC-022	高级球 ultra ball item csve2pc g
CSVH1C-044	高级球 ultra ball item csvh1c g
CSVH2C-044	高级球 ultra ball item csvh2c g
CSVH3C-044	高级球 ultra ball item csvh3c g
CSVH4C-037	高级球 ultra ball item csvh4c g
CSVH5C-042	高级球 ultra ball item csvh5c g
CSVM1aC-015	高级球 ultra ball item csvm1ac g
CSVM1bC-020	高级球 ultra ball item csvm1bc g
CSVM1cC-013	高级球 ultra ball item csvm1cc g
CSVM2aC-019	高级球 ultra ball item csvm2ac g
CSVM2bC-015	高级球 ultra ball item csvm2bc g
CSVM2cC-016	高级球 ultra ball item csvm2cc g
SVP-217	高级球 ultra ball item svp g
CSV7C-178	高级香氛 hyper aroma item ace spec csv7c h
CSV6C-116	高科技雷达 techno radar item  "future"  csv6c g
CSV9.5C-164	高科技雷达 techno radar item  "future"  csv9 5c g
CSVH4C-035	高科技雷达 techno radar item  "future"  csvh4c g
CS6.5C-062	工具箱 tool box item cs6 5c f
CSVE1C-114	工具箱 tool box item csve1c f
CSV8C-174	鬼之假面 ogre s mask item csv8c h
CSV9.5C-157	鬼之假面 ogre s mask item csv9 5c h
CSVNC-032	鬼之假面 ogre s mask item csvnc h
CSM2.1C-013	贵重球 cherish ball item csm2 1c c
CSM2bC-131	贵重球 cherish ball item csm2bc c
CSM2bC-190	贵重球 cherish ball item csm2bc c
CSMAC-007	贵重球 cherish ball item csmac c
CSV9C-186	贵重推车 precious trolley item ace spec csv9c h
CSV9C-185	古老的背盖化石 antique cover fossil item csv9c h
SVP-013	古老的贝壳化石 antique helix fossil item svp g
CSV9C-184	古老的根状化石 antique root fossil item csv9c h
SVP-014	古老的甲壳化石 antique dome fossil item svp g
SVP-015	古老的秘密琥珀 antique old amber item svp g
CSV2C-111	鼓励信 letter of encouragement item csv2c g
CSVE2C-155	鼓励信 letter of encouragement item csve2c g
CSVH4aC-010	鼓励信 letter of encouragement item csvh4ac g
CSV10C-189	好伤药 item csv10c i
CSVH5aC-007	好伤药 super potion item csvh5ac i
CSV8C-177	黑暗球 dusk ball item csv8c h
CSV10C-195	赫普的包包 item csv10c i
CS6bC-122	幻象之门 mirage gate item cs6bc f
CSXC-011	幻象之门 mirage gate item csxc f
CS1.5C-043	回收网 scoop up net item cs1 5c d
CS1.5C-094	回收网 scoop up net item cs1 5c d
CSBC-006	回收网 scoop up net item csbc d
CSCC-008	回收网 scoop up net item cscc d
CSNC-010	回收网 scoop up net item csnc d
CSM1DC-259	混合药草 mixed herbs item csm1dc b
CSV10C-197	火箭队的超级球 item csv10c i
CSV10C-196	火箭队的妨碍机器人 item csv10c i
CSV10C-199	火箭队的接收器 item csv10c i
CSV10C-198	火箭队的惊吓炸弹 item csv10c i
CS3DC-130	活力之壶 urn of vitality item  "single strike"  cs3dc e
CS3aC-107	活力之壶 urn of vitality item  "single strike"  cs3ac e
CS3aC-181	活力之壶 urn of vitality item  "single strike"  cs3ac e
CS4DaC-369	活力之壶 urn of vitality item  "single strike"  cs4dac e
CSBC-007	活力之壶 urn of vitality item  "single strike"  csbc e
CSVE1C-109	活力之壶 urn of vitality item  "single strike"  csve1c e
CSM2.5C-048	火之结晶 fire crystal item csm2 5c c
CSM2.5C-096	火之结晶 fire crystal item csm2 5c c
CSMPbC-016	火之结晶 fire crystal item csmpbc c
CS6.5C-063	健行鞋 trekking shoes item cs6 5c f
CS6.5C-094	健行鞋 trekking shoes item cs6 5c f
CSVE1C-116	健行鞋 trekking shoes item csve1c f
CSVE2C-152	健行鞋 trekking shoes item csve2c f
CSVH1C-042	健行鞋 trekking shoes item csvh1c f
CSVH3aC-010	健行鞋 trekking shoes item csvh3ac f
CSVH4aC-009	健行鞋 trekking shoes item csvh4ac f
SSP-209	健行鞋 trekking shoes item ssp f
CS5DC-121	坚毅铁镐 gutsy pickaxe item cs5dc f
CSVE1C-110	坚毅铁镐 gutsy pickaxe item csve1c f
CSVE2C-142	坚毅铁镐 gutsy pickaxe item csve2c f
CS4.5C-049	交错切换机 cross switcher item  "fusion strike"  cs4 5c e
CSOC-008	交错切换机 cross switcher item  "fusion strike"  csoc e
CS4bC-117	交错收发机 crossceiver item  "fusion strike"  cs4bc e
CS5DC-116	交替推车 switch cart item cs5dc f
CS5bC-116	交替推车 switch cart item cs5bc f
CSOC-005	交替推车 switch cart item csoc f
CSVE1C-101	交替推车 switch cart item csve1c f
CSVE2C-135	交替推车 switch cart item csve2c f
CSVE2pC-008	交替推车 switch cart item csve2pc f
CSVH3aC-007	交替推车 switch cart item csvh3ac f
CSVM1cC-008	交替推车 switch cart item csvm1cc f
CSXC-006	交替推车 switch cart item csxc f
CSZC-030	交替推车 switch cart item cszc f
CSM1DC-227	交替泳圈 switch raft item csm1dc b
CSM1DC-333	交替泳圈 switch raft item csm1dc b
CSM2DC-234	交替泳圈 switch raft item csm2dc b
CSMPcC-011	交替泳圈 switch raft item csmpcc b
CS2aC-102	加油y喇叭 yell horn item cs2ac d
CSV5C-116	加油牛奶 fighting au lait item csv5c g
CSVH3aC-011	加油牛奶 fighting au lait item csvh3ac g
CSM2bC-128	竞技场导航 stadium nav item csm2bc c
CSM1DC-261	精灵球 poké ball item csm1dc a
CSMJC-010	精灵球 poké ball item csmjc a
CS1DC-183	精灵球 poké ball item cs1dc d
SSP-NaN45	精灵球 poké ball item ssp d
SSP-NaN46	精灵球 poké ball item ssp d
SSP-NaN47	精灵球 poké ball item ssp d
CBB2C-1001	精灵球 poké ball item cbb2c f
CS4DaC-379	精灵球 poké ball item cs4dac f
CSJC-011	精灵球 poké ball item csjc f
CSYC-010	精灵球 poké ball item csyc f
SSP-NaN51	精灵球 poké ball item ssp f
SSP-NaN52	精灵球 poké ball item ssp f
SSP-NaN53	精灵球 poké ball item ssp f
CBB1C-1701	精灵球 poké ball item cbb1c g
CSVSC-056	精灵球 poké ball item csvsc g
SVP-NaN15	精灵球 poké ball item svp g
SVP-NaN16	精灵球 poké ball item svp g
SVP-NaN17	精灵球 poké ball item svp g
CSM2bC-130	惊吓箱 surprise box item csm2bc c
CS1DC-170	进化熏香 evolution incense item cs1dc d
CS1aC-120	进化熏香 evolution incense item cs1ac d
CS3DC-135	进化熏香 evolution incense item cs3dc d
CSAC-011	进化熏香 evolution incense item csac d
CSBC-010	进化熏香 evolution incense item csbc d
CSCC-010	进化熏香 evolution incense item cscc d
CSNC-011	进化熏香 evolution incense item csnc d
CSV9C-180	紧急切换 scramble switch item ace spec csv9c h
CS1DC-182	金属碟 metal saucer item cs1dc d
CS1bC-125	金属碟 metal saucer item cs1bc d
CS1bC-195	金属碟 metal saucer item cs1bc d
CS3DC-142	金属碟 metal saucer item cs3dc d
CS1bC-121	金珠 nugget item cs1bc d
CS4.5C-048	机器鹕 cram-o-matic item cs4 5c e
CSOC-006	机器鹕 cram-o-matic item csoc e
CSM1DC-243	计时球 timer ball item csm1dc a
CSM2DC-253	计时球 timer ball item csm2dc a
CSMPhC-011	计时球 timer ball item csmphc a
CSM1aC-119	究极球 beast ball item csm1ac b
CSM1DC-264	救援担架 rescue stretcher item csm1dc a
CSM1bC-126	救援担架 rescue stretcher item csm1bc a
CSM1bC-201	救援担架 rescue stretcher item csm1bc a
CSM2.1C-019	救援担架 rescue stretcher item csm2 1c a
CSM2DC-273	救援担架 rescue stretcher item csm2dc a
CSMPdC-014	救援担架 rescue stretcher item csmpdc a
CSMPeC-014	救援担架 rescue stretcher item csmpec a
CSMPfC-013	救援担架 rescue stretcher item csmpfc a
CSMPgC-015	救援担架 rescue stretcher item csmpgc a
CSMPhC-016	救援担架 rescue stretcher item csmphc a
CSMPqC-007	救援担架 rescue stretcher item csmpqc a
CS4aC-120	救援行李箱 rescue carrier item cs4ac e
CS5DC-132	救援行李箱 rescue carrier item cs5dc e
CSVE1C-124	救援行李箱 rescue carrier item csve1c e
CSVE1pC-009	救援行李箱 rescue carrier item csve1pc e
CSVE2C-161	救援行李箱 rescue carrier item csve2c e
