#srch1
CSM1DC-001	妙蛙种子 bulbasaur pokemon g basic csm1dc a  草  飞叶快刀 30\n\n\n 飞叶快刀 gc 30
CSM1DC-003	妙蛙花 venusaur pokemon g stage 2 csm1dc a 特性  密林霸主\n只要这只宝可梦在场上 附着于自己场上宝可梦身上的所有基本 草 能量 各被视作2个 草 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 \n\n 草  草  日光束 90\n\n\n 日光束 ggcc 90 密林霸主 只要这只宝可梦在场上 附着于自己场上宝可梦身上的所有基本 草 能量 各被视作2个 草 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 
CSMPaC-004	妙蛙花 venusaur pokemon g stage 2 csmpac a 特性  密林霸主\n只要这只宝可梦在场上 附着于自己场上宝可梦身上的所有基本 草 能量 各被视作2个 草 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 \n\n 草  草  日光束 90\n\n\n 日光束 ggcc 90 密林霸主 只要这只宝可梦在场上 附着于自己场上宝可梦身上的所有基本 草 能量 各被视作2个 草 能量 这个效果 无论拥有这个特性的宝可梦有多少只 都不会叠加 
CS5bC-003	妙蛙花 venusaur pokemon g stage 2 cs5bc f 特性  眩晕捕捉\n在自己的回合可以使用1次 抛掷1次硬币如果为正面 则选择对手的1只备战宝可梦 将其与战斗宝可梦互换 然后 使新出场的宝可梦陷入 中毒 和 睡眠 状态 \n\n 草  草  日光束 130\n\n\n 日光束 ggcc 130 眩晕捕捉 在自己的回合可以使用1次 抛掷1次硬币如果为正面 则选择对手的1只备战宝可梦 将其与战斗宝可梦互换 然后 使新出场的宝可梦陷入 中毒 和 睡眠 状态 
CSVE2C-003	妙蛙花 venusaur pokemon g stage 2 csve2c f 特性  眩晕捕捉\n在自己的回合可以使用1次 抛掷1次硬币如果为正面 则选择对手的1只备战宝可梦 将其与战斗宝可梦互换 然后 使新出场的宝可梦陷入 中毒 和 睡眠 状态 \n\n 草  草  日光束 130\n\n\n 日光束 ggcc 130 眩晕捕捉 在自己的回合可以使用1次 抛掷1次硬币如果为正面 则选择对手的1只备战宝可梦 将其与战斗宝可梦互换 然后 使新出场的宝可梦陷入 中毒 和 睡眠 状态 
151C-003	妙蛙花ex venusaur ex pokemon ex g stage 2 151c g 特性  安抚之花\n如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp \n\n 草  草  剧毒鞭打 150\n令对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 剧毒鞭打 ggc 150 令对手的战斗宝可梦陷入 中毒 和 混乱 状态  安抚之花 如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp 
151C-174	妙蛙花ex venusaur ex pokemon ex g stage 2 151c g 特性  安抚之花\n如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp \n\n 草  草  剧毒鞭打 150\n令对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 剧毒鞭打 ggc 150 令对手的战斗宝可梦陷入 中毒 和 混乱 状态  安抚之花 如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp 
CSVE1C-003	妙蛙花ex venusaur ex pokemon ex g stage 2 csve1c g 特性  安抚之花\n如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp \n\n 草  草  剧毒鞭打 150\n令对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 剧毒鞭打 ggc 150 令对手的战斗宝可梦陷入 中毒 和 混乱 状态  安抚之花 如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp 
CSVE1pC-001	妙蛙花ex venusaur ex pokemon ex g stage 2 csve1pc g 特性  安抚之花\n如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp \n\n 草  草  剧毒鞭打 150\n令对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 剧毒鞭打 ggc 150 令对手的战斗宝可梦陷入 中毒 和 混乱 状态  安抚之花 如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp 
CSVL1C-001	妙蛙花ex venusaur ex pokemon ex g stage 2 csvl1c g 特性  安抚之花\n如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp \n\n 草  草  剧毒鞭打 150\n令对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 剧毒鞭打 ggc 150 令对手的战斗宝可梦陷入 中毒 和 混乱 状态  安抚之花 如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp 
CSVL1C-119	妙蛙花ex venusaur ex pokemon ex g stage 2 csvl1c g 特性  安抚之花\n如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp \n\n 草  草  剧毒鞭打 150\n令对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 剧毒鞭打 ggc 150 令对手的战斗宝可梦陷入 中毒 和 混乱 状态  安抚之花 如果这只宝可梦在战斗场上的话 则在自己的回合可以使用1次 回复自己1只宝可梦 60 hp 
CS1DC-001	妙蛙花v venusaur v pokemon v g basic cs1dc d  草  草  花粉炸弹 80\n使对手的战斗宝可梦陷入 中毒 和 睡眠 状态 \n\n 草  草  草  日光台风 220\n在下一个自己的回合 这只宝可梦无法使用 日光台风  \n\n 花粉炸弹 ggc 80 使对手的战斗宝可梦陷入 中毒 和 睡眠 状态  日光台风 gggc 220 在下一个自己的回合 这只宝可梦无法使用 日光台风  
CS3aC-001	妙蛙花v venusaur v pokemon v g basic cs3ac e  草  绿叶吸取 50\n回复这只宝可梦 30 点hp \n\n 草  草  舍身冲撞 190\n给这只宝可梦也造成30点伤害 \n\n 绿叶吸取 gc 50 回复这只宝可梦 30 点hp  舍身冲撞 ggc 190 给这只宝可梦也造成30点伤害 
CS3aC-130	妙蛙花v venusaur v pokemon v g basic cs3ac e  草  绿叶吸取 50\n回复这只宝可梦 30 点hp \n\n 草  草  舍身冲撞 190\n给这只宝可梦也造成30点伤害 \n\n 绿叶吸取 gc 50 回复这只宝可梦 30 点hp  舍身冲撞 ggc 190 给这只宝可梦也造成30点伤害 
CS4DaC-001	妙蛙花v venusaur v pokemon v g basic cs4dac e  草  绿叶吸取 50\n回复这只宝可梦 30 点hp \n\n 草  草  舍身冲撞 190\n给这只宝可梦也造成30点伤害 \n\n 绿叶吸取 gc 50 回复这只宝可梦 30 点hp  舍身冲撞 ggc 190 给这只宝可梦也造成30点伤害 
CS3aC-002	妙蛙花vmax venusaur vmax pokemon v g vmax cs3ac e  森林风暴 30×\n造成自己场上宝可梦身上附有的 草 能量数量×30点伤害 \n\n 草  草  超极巨八荒花茂 210\n回复这只宝可梦 30 点hp \n\n 森林风暴 cc 30× 造成自己场上宝可梦身上附有的 草 能量数量×30点伤害  超极巨八荒花茂 ggcc 210 回复这只宝可梦 30 点hp 
CS3aC-161	妙蛙花vmax venusaur vmax pokemon v g vmax cs3ac e  森林风暴 30×\n造成自己场上宝可梦身上附有的 草 能量数量×30点伤害 \n\n 草  草  超极巨八荒花茂 210\n回复这只宝可梦 30 点hp \n\n 森林风暴 cc 30× 造成自己场上宝可梦身上附有的 草 能量数量×30点伤害  超极巨八荒花茂 ggcc 210 回复这只宝可梦 30 点hp 
CSM2.5C-001	妙蛙花&藤藤蛇gx venusaur & snivy-gx pokemon gx  "tag team"  g basic csm2 5c c 特性  光辉蔓藤\n在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 \n\n 草  森林抛掷 160\n\n\n +  花蛇添足gx \n给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次  \n\n 森林抛掷 gccc 160 花蛇添足gx ccc+ 给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次   光辉蔓藤 在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 
CSM2.5C-062	妙蛙花&藤藤蛇gx venusaur & snivy-gx pokemon gx  "tag team"  g basic csm2 5c c 特性  光辉蔓藤\n在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 \n\n 草  森林抛掷 160\n\n\n +  花蛇添足gx \n给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次  \n\n 森林抛掷 gccc 160 花蛇添足gx ccc+ 给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次   光辉蔓藤 在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 
CSM2.5C-063	妙蛙花&藤藤蛇gx venusaur & snivy-gx pokemon gx  "tag team"  g basic csm2 5c c 特性  光辉蔓藤\n在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 \n\n 草  森林抛掷 160\n\n\n +  花蛇添足gx \n给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次  \n\n 森林抛掷 gccc 160 花蛇添足gx ccc+ 给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次   光辉蔓藤 在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 
CSM2.5C-083	妙蛙花&藤藤蛇gx venusaur & snivy-gx pokemon gx  "tag team"  g basic csm2 5c c 特性  光辉蔓藤\n在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 \n\n 草  森林抛掷 160\n\n\n +  花蛇添足gx \n给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次  \n\n 森林抛掷 gccc 160 花蛇添足gx ccc+ 给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次   光辉蔓藤 在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 
CSMPaC-001	妙蛙花&藤藤蛇gx venusaur & snivy-gx pokemon gx  "tag team"  g basic csmpac c 特性  光辉蔓藤\n在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 \n\n 草  森林抛掷 160\n\n\n +  花蛇添足gx \n给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次  \n\n 森林抛掷 gccc 160 花蛇添足gx ccc+ 给对手的所有宝可梦 各造成50点伤害 如果追加附有2个能量的话 则将自己所有宝可梦的hp 全部回复  备战宝可梦不计算弱点 抗性   对战中 己方的gx招式只能使用1次   光辉蔓藤 在自己的回合 如果这只宝可梦在战斗场上的话 则每次从自己的手牌将 草 能量附着于这只宝可梦身上时 可使用1次 选择对手的1只备战宝可梦 将其与战斗宝可梦互换 
CSM1DC-028	小火龙 charmander pokemon r basic csm1dc a  抓 10\n\n\n 火  火之尾 20\n\n\n 抓 c 10 火之尾 rc 20
CSMPbC-002	小火龙 charmander pokemon r basic csmpbc a  抓 10\n\n\n 火  火之尾 20\n\n\n 抓 c 10 火之尾 rc 20
CSM1aC-002	小火龙 charmander pokemon r basic csm1ac b  火  火焰牙 20\n使对手的战斗宝可梦陷入 灼伤 状态 \n\n 火焰牙 rc 20 使对手的战斗宝可梦陷入 灼伤 状态 
CSM1aC-153	小火龙 charmander pokemon r basic csm1ac b  火  火焰牙 20\n使对手的战斗宝可梦陷入 灼伤 状态 \n\n 火焰牙 rc 20 使对手的战斗宝可梦陷入 灼伤 状态 
CSM2cC-002	小火龙 charmander pokemon r basic csm2cc c  火  抓 10\n\n\n 回击 20×\n造成放置于这只宝可梦身上的伤害指示物数量×20点伤害 \n\n 抓 r 10 回击 cc 20× 造成放置于这只宝可梦身上的伤害指示物数量×20点伤害 
CS2aC-027	小火龙 charmander pokemon r basic cs2ac d  火  招来 \n从自己的牌库上方抽取1张卡牌 \n\n 火  火  火焰 30\n\n\n 招来 r 从自己的牌库上方抽取1张卡牌  火焰 rr 30
SSP-040	小火龙 charmander pokemon r basic ssp d  火  招来 \n从自己的牌库上方抽取1张卡牌 \n\n 火  火  火焰 30\n\n\n 招来 r 从自己的牌库上方抽取1张卡牌  火焰 rr 30
CS5aC-001	小火龙 charmander pokemon r basic cs5ac f  火  燃烧之尾 10\n选择自己牌库中的1张 火 能量 附着于这只宝可梦身上 并重洗牌库 \n\n 燃烧之尾 r 10 选择自己牌库中的1张 火 能量 附着于这只宝可梦身上 并重洗牌库 
151C-004	小火龙 charmander pokemon r basic 151c g  火  烧光 \n将场上的竞技场放于弃牌区 \n\n 火  火  吐火 30\n\n\n 烧光 r 将场上的竞技场放于弃牌区  吐火 rr 30
151C-152	小火龙 charmander pokemon r basic 151c g  火  烧光 \n将场上的竞技场放于弃牌区 \n\n 火  火  吐火 30\n\n\n 烧光 r 将场上的竞技场放于弃牌区  吐火 rr 30
CSV5C-014	小火龙 charmander pokemon r basic csv5c g  火  高温冲撞 30\n给这只宝可梦也造成10伤害 \n\n 高温冲撞 r 30 给这只宝可梦也造成10伤害 
CSVE1C-012	小火龙 charmander pokemon r basic csve1c g  火  烧光 \n将场上的竞技场放于弃牌区 \n\n 火  火  吐火 30\n\n\n 烧光 r 将场上的竞技场放于弃牌区  吐火 rr 30
CSVL1C-090	小火龙 charmander pokemon r basic csvl1c g  火  烧光 \n将场上的竞技场放于弃牌区 \n\n 火  火  吐火 30\n\n\n 烧光 r 将场上的竞技场放于弃牌区  吐火 rr 30
CSVM1aC-001	小火龙 charmander pokemon r basic csvm1ac g  火  烧光 \n将场上的竞技场放于弃牌区 \n\n 火  火  吐火 30\n\n\n 烧光 r 将场上的竞技场放于弃牌区  吐火 rr 30
SVP-067	小火龙 charmander pokemon r basic svp g  火  火  火花 40\n选择这只宝可梦身上附着的1个能量 放于弃牌区 \n\n 火花 rr 40 选择这只宝可梦身上附着的1个能量 放于弃牌区 
SVP-070	小火龙 charmander pokemon r basic svp g  火  火  火花 40\n选择这只宝可梦身上附着的1个能量 放于弃牌区 \n\n 火花 rr 40 选择这只宝可梦身上附着的1个能量 放于弃牌区 
SVP-098	小火龙 charmander pokemon r basic svp g  火  高温冲撞 30\n给这只宝可梦也造成10伤害 \n\n 高温冲撞 r 30 给这只宝可梦也造成10伤害 
30thP-002	小火龙 pokemon r basic 30thp j  火  火花 30\n选择这只宝可梦身上附着的1个能力 放于弃牌区 \n\n 火花 r 30 选择这只宝可梦身上附着的1个能力 放于弃牌区 
CSM1DC-029	火恐龙 charmeleon pokemon r stage 1 csm1dc a  利爪劈开 30\n\n\n 火  火  高温爆破 70\n\n\n 利爪劈开 cc 30 高温爆破 rrc 70
CSM1aC-003	火恐龙 charmeleon pokemon r stage 1 csm1ac b 特性  燃烧斗志\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 将自己牌库上方5张卡牌放于弃牌区 将其中所有的 火 能量附着于这只宝可梦身上 \n\n 火  火  喷射火焰 80\n将附着于这只宝可梦身上的1个能量 放于弃牌区 \n\n 喷射火焰 rrc 80 将附着于这只宝可梦身上的1个能量 放于弃牌区  燃烧斗志 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 将自己牌库上方5张卡牌放于弃牌区 将其中所有的 火 能量附着于这只宝可梦身上 
CSM1aC-154	火恐龙 charmeleon pokemon r stage 1 csm1ac b 特性  燃烧斗志\n在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 将自己牌库上方5张卡牌放于弃牌区 将其中所有的 火 能量附着于这只宝可梦身上 \n\n 火  火  喷射火焰 80\n将附着于这只宝可梦身上的1个能量 放于弃牌区 \n\n 喷射火焰 rrc 80 将附着于这只宝可梦身上的1个能量 放于弃牌区  燃烧斗志 在自己的回合 当将这张卡牌从手牌使出并进行进化时 可使用1次 将自己牌库上方5张卡牌放于弃牌区 将其中所有的 火 能量附着于这只宝可梦身上 
CSM2cC-003	火恐龙 charmeleon pokemon r stage 1 csm2cc c  火  火  火焰牙 30\n使对手的战斗宝可梦陷入 灼伤 状态 \n\n 火焰牙 rr 30 使对手的战斗宝可梦陷入 灼伤 状态 
CSMPbC-003	火恐龙 charmeleon pokemon r stage 1 csmpbc c  火  劈开 30\n\n\n 火  火  喷射火焰 80\n\n\n 劈开 rc 30 喷射火焰 rrc 80
CS2aC-028	火恐龙 charmeleon pokemon r stage 1 cs2ac d  火  劈开 20\n\n\n 火  火  山火 60\n将自己牌库上方的3张卡牌放于弃牌区 \n\n 劈开 r 20 山火 rr 60 将自己牌库上方的3张卡牌放于弃牌区 
CS5aC-002	火恐龙 charmeleon pokemon r stage 1 cs5ac f  火  抓 30\n\n\n 火  火  喷射火焰 100\n选择附着于这只宝可梦身上的1个 火 能量 放于弃牌区 \n\n 抓 rc 30 喷射火焰 rrcc 100 选择附着于这只宝可梦身上的1个 火 能量 放于弃牌区 
151C-005	火恐龙 charmeleon pokemon r stage 1 151c g  火  烈焰 20\n\n\n 火  火  火  大字爆炎 90\n选择这只宝可梦身上附着的1个能量 放于弃牌区 \n\n 烈焰 r 20 大字爆炎 rrr 90 选择这只宝可梦身上附着的1个能量 放于弃牌区 
CSV5C-015	火恐龙 charmeleon pokemon r stage 1 csv5c g 特性  闪焰之幕\n这只宝可梦 不受到对手宝可梦所使用招式的效果影响 \n\n 火  火  烈焰 50\n\n\n 烈焰 rr 50 闪焰之幕 这只宝可梦 不受到对手宝可梦所使用招式的效果影响 
CSVE1C-013	火恐龙 charmeleon pokemon r stage 1 csve1c g  火  烈焰 20\n\n\n 火  火  火  大字爆炎 90\n选择这只宝可梦身上附着的1个能量 放于弃牌区 \n\n 烈焰 r 20 大字爆炎 rrr 90 选择这只宝可梦身上附着的1个能量 放于弃牌区 
CSVL1C-091	火恐龙 charmeleon pokemon r stage 1 csvl1c g  火  烈焰 20\n\n\n 火  火  火  大字爆炎 90\n选择这只宝可梦身上附着的1个能量 放于弃牌区 \n\n 烈焰 r 20 大字爆炎 rrr 90 选择这只宝可梦身上附着的1个能量 放于弃牌区 
CSVL2C-014	火恐龙 charmeleon pokemon r stage 1 csvl2c g 特性  闪焰之幕\n这只宝可梦 不受到对手宝可梦所使用招式的效果影响 \n\n 火  火  烈焰 50\n\n\n 烈焰 rr 50 闪焰之幕 这只宝可梦 不受到对手宝可梦所使用招式的效果影响 
CSVL2C-062	火恐龙 charmeleon pokemon r stage 1 csvl2c g 特性  闪焰之幕\n这只宝可梦 不受到对手宝可梦所使用招式的效果影响 \n\n 火  火  烈焰 50\n\n\n 烈焰 rr 50 闪焰之幕 这只宝可梦 不受到对手宝可梦所使用招式的效果影响 
CSVM1aC-002	火恐龙 charmeleon pokemon r stage 1 csvm1ac g 特性  闪焰之幕\n这只宝可梦 不受到对手宝可梦所使用招式的效果影响 \n\n 火  火  烈焰 50\n\n\n 烈焰 rr 50 闪焰之幕 这只宝可梦 不受到对手宝可梦所使用招式的效果影响 
SVP-100	火恐龙 charmeleon pokemon r stage 1 svp g  火  火  高温冲撞 70\n给这只宝可梦也造成20伤害 \n\n 高温冲撞 rr 70 给这只宝可梦也造成20伤害 
CS5.5C-007	光辉喷火龙 radiant charizard pokemon radiant r basic cs5 5c f 特性  振奋之心\n这只宝可梦使用招式所需能量会减少与对手已经获得的奖赏卡张数相同数量的 无 能量 \n\n 火  炎爆 250\n在下一个自己的回合 这只宝可梦无法使用 炎爆  \n\n 炎爆 rcccc 250 在下一个自己的回合 这只宝可梦无法使用 炎爆   振奋之心 这只宝可梦使用招式所需能量会减少与对手已经获得的奖赏卡张数相同数量的 无 能量 
CSVE1pC-013	光辉喷火龙 radiant charizard pokemon radiant r basic csve1pc f 特性  振奋之心\n这只宝可梦使用招式所需能量会减少与对手已经获得的奖赏卡张数相同数量的 无 能量 \n\n 火  炎爆 250\n在下一个自己的回合 这只宝可梦无法使用 炎爆  \n\n 炎爆 rcccc 250 在下一个自己的回合 这只宝可梦无法使用 炎爆   振奋之心 这只宝可梦使用招式所需能量会减少与对手已经获得的奖赏卡张数相同数量的 无 能量 
CSVM1aC-003	光辉喷火龙 radiant charizard pokemon radiant r basic csvm1ac f 特性  振奋之心\n这只宝可梦使用招式所需能量会减少与对手已经获得的奖赏卡张数相同数量的 无 能量 \n\n 火  炎爆 250\n在下一个自己的回合 这只宝可梦无法使用 炎爆  \n\n 炎爆 rcccc 250 在下一个自己的回合 这只宝可梦无法使用 炎爆   振奋之心 这只宝可梦使用招式所需能量会减少与对手已经获得的奖赏卡张数相同数量的 无 能量 
CSM1DC-030	喷火龙 charizard pokemon r stage 2 csm1dc b 特性  觉悟之火\n对手场上每有1只 宝可梦gx・ex  就会使这只宝可梦使用的招式 给对手战斗宝可梦造成的伤害 +30  \n\n 火  火  火焰爆破 130\n将附着于这只宝可梦身上的1个能量 放于弃牌区 \n\n 火焰爆破 rrc 130 将附着于这只宝可梦身上的1个能量 放于弃牌区  觉悟之火 对手场上每有1只 宝可梦gx・ex  就会使这只宝可梦使用的招式 给对手战斗宝可梦造成的伤害 +30  
CSM2cC-004	喷火龙 charizard pokemon r stage 2 csm2cc c 特性  旺盛斗气\n在自己的回合可以使用1次 给这只宝可梦身上放置2个伤害指示物 然后 将自己牌库中最多2张 火 能量 附着于这只宝可梦身上 并重洗牌库 \n\n 火  火  连续火焰球 30+\n将附着于这只宝可梦身上的 火 能量全部放于弃牌区 追加造成其张数×50点伤害 \n\n 连续火焰球 rr 30+ 将附着于这只宝可梦身上的 火 能量全部放于弃牌区 追加造成其张数×50点伤害  旺盛斗气 在自己的回合可以使用1次 给这只宝可梦身上放置2个伤害指示物 然后 将自己牌库中最多2张 火 能量 附着于这只宝可梦身上 并重洗牌库 
