#srch1
CSM1.5C-055	被破坏殆尽的原野 devoured field stadium csm1 5c a 双方的 恶 或 龙 宝可梦使用的招式 给对手战斗宝可梦造成的伤害 +10  
CS5.1C-004	庆祝开场乐 stadium cs5 1c e 双方玩家 在自己的回合有1次机会 可将自己所有宝可梦的hp 各回复 10 点 在这种情况下 自己的回合结束 
CS6.1C-004	庆祝开场乐 stadium cs6 1c e 双方玩家 在自己的回合有1次机会 可将自己所有宝可梦的hp 各回复 10 点 在这种情况下 自己的回合结束 
CS4aC-131	时尚广场 shopping center stadium cs4ac e 双方玩家 在自己的回合有1次机会 可选择放于自己场上宝可梦身上的1张 宝可梦道具  放回手牌 
CS3bC-121	水之塔 tower of waters stadium  "rapid strike"  cs3bc e 双方所有 连击 宝可梦 撤退 所需能量 各减少2个 
CSCC-017	水之塔 tower of waters stadium  "rapid strike"  cscc e 双方所有 连击 宝可梦 撤退 所需能量 各减少2个 在自己的回合只可以将1张竞技场卡放到于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CSVE1C-170	水之塔 tower of waters stadium  "rapid strike"  csve1c e 双方所有 连击 宝可梦 撤退 所需能量 各减少2个 在自己的回合 只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CS3.5C-063	通顶雪道 path to the peak stadium cs3 5c e 将双方场上 拥有规则的宝可梦 的特性 全部消除 
CS3.5C-090	通顶雪道 path to the peak stadium cs3 5c e 将双方场上 拥有规则的宝可梦 的特性 全部消除 
CSZC-054	通顶雪道 path to the peak stadium cszc e 将双方场上 拥有规则的宝可梦 的特性 全部消除 
CS3aC-124	远古墓地 old cemetery stadium cs3ac e 每当双方玩家 各从自己的手牌给宝可梦 除 超 宝可梦外 附着能量时 给该宝可梦身上放置2个伤害指示物 
CS6.5C-071	崩塌的竞技场 collapsed stadium stadium cs6 5c f 双方玩家可以放于备战区的宝可梦数量 变为4只 ［关于变更备战宝可梦的数量的效果 优先执行数量更少的效果 ］\n\n 当这张卡牌被放于场上时 备战区有5只以上宝可梦 包含5只 的玩家 将宝可梦放于弃牌区直到备战区宝可梦变为4只为止 放于弃牌区的动作由这张卡牌的持有者开始执行  
CS6.5C-095	崩塌的竞技场 collapsed stadium stadium cs6 5c f 双方玩家可以放于备战区的宝可梦数量 变为4只 ［关于变更备战宝可梦的数量的效果 优先执行数量更少的效果 ］\n\n 当这张卡牌被放于场上时 备战区有5只以上宝可梦 包含5只 的玩家 将宝可梦放于弃牌区直到备战区宝可梦变为4只为止 放于弃牌区的动作由这张卡牌的持有者开始执行  
CSVM1aC-030	崩塌的竞技场 collapsed stadium stadium csvm1ac f 双方玩家可以放于备战区的宝可梦数量 变为4只 ［关于变更备战宝可梦的数量的效果 优先执行数量更少的效果 ］\n\n 当这张卡牌被放于场上时 备战区有5只以上宝可梦 包含5只 的玩家 将宝可梦放于弃牌区直到备战区宝可梦变为4只为止 放于弃牌区的动作由这张卡牌的持有者开始执行  
CSVM1bC-031	崩塌的竞技场 collapsed stadium stadium csvm1bc f 双方玩家可以放于备战区的宝可梦数量 变为4只 ［关于变更备战宝可梦的数量的效果 优先执行数量更少的效果 ］\n\n 当这张卡牌被放于场上时 备战区有5只以上宝可梦 包含5只 的玩家 将宝可梦放于弃牌区直到备战区宝可梦变为4只为止 放于弃牌区的动作由这张卡牌的持有者开始执行  
CS5.5C-066	大嘴沼泽 gapejaw bog stadium cs5 5c f 每当双方玩家 各从手牌将 基础 宝可梦放于备战区时 给该宝可梦身上放置2个伤害指示物 
CS5.5C-089	大嘴沼泽 gapejaw bog stadium cs5 5c f 每当双方玩家 各从手牌将 基础 宝可梦放于备战区时 给该宝可梦身上放置2个伤害指示物 
CS6bC-130	放逐市 lost city stadium cs6bc f 每当双方的宝可梦 昏厥 时 不将该宝可梦放于弃牌区 而是放于放逐区  除宝可梦以外的卡牌 全部放于弃牌区  在自己的回合只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CSXC-020	放逐市 lost city stadium csxc f 每当双方的宝可梦 昏厥 时 不将该宝可梦放于弃牌区 而是放于放逐区  除宝可梦以外的卡牌 全部放于弃牌区  在自己的回合 只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CSZC-056	放逐市 lost city stadium cszc f 每当双方的宝可梦 昏厥 时 不将该宝可梦放于弃牌区 而是放于放逐区  除宝可梦以外的卡牌 全部放于弃牌区  在自己的回合 只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
SSP-187	平和公园 stadium ssp f 双方所有宝可梦 不会陷入 混乱 状态 已经处于的 混乱 状态 也全部恢复 \n\n在自己的回合 只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CS5DC-152	熔岩瀑布之渊 magma basin stadium cs5dc f 双方玩家 每次在自己的回合有1次机会 可选择自己弃牌区中的1张 火 能量 附着于自己备战区的 火 宝可梦身上 在这种情况下 给该宝可梦身上放置2个伤害指示物 
CS5aC-126	熔岩瀑布之渊 magma basin stadium cs5ac f 双方玩家 每次在自己的回合有1次机会 可选择自己弃牌区中的1张 火 能量 附着于自己备战区的 火 宝可梦身上 在这种情况下 给该宝可梦身上放置2个伤害指示物 
CS5aC-175	熔岩瀑布之渊 magma basin stadium cs5ac f 双方玩家 每次在自己的回合有1次机会 可选择自己弃牌区中的1张 火 能量 附着于自己备战区的 火 宝可梦身上 在这种情况下 给该宝可梦身上放置2个伤害指示物 
CSVE1C-169	熔岩瀑布之渊 magma basin stadium csve1c f 双方玩家 每次在自己的回合有1次机会 可选择自己弃牌区中的1张 火 能量 附着于自己备战区的 火 宝可梦身上 在这种情况下 给该宝可梦身上放置2个伤害指示物 
CSVE2C-201	熔岩瀑布之渊 magma basin stadium csve2c f 双方玩家 每次在自己的回合有1次机会 可选择自己弃牌区中的1张 火 能量 附着于自己备战区的 火 宝可梦身上 在这种情况下 给该宝可梦身上放置2个伤害指示物 
CS5bC-127	睿智湖 lake acuity stadium cs5bc f 双方身上附有 水 或 斗 能量的宝可梦 受到对手宝可梦的招式的伤害 -20  
CSVE1C-167	睿智湖 lake acuity stadium csve1c f 双方身上附有 水 或 斗 能量的宝可梦 受到对手宝可梦的招式的伤害 -20  
CSVE2C-197	睿智湖 lake acuity stadium csve2c f 双方身上附有 水 或 斗 能量的宝可梦 受到对手宝可梦的招式的伤害 -20  
CS5bC-128	神奥神殿 temple of sinnoh stadium cs5bc f 双方场上宝可梦身上附有的特殊能量的效果全部消除 被视作1个 无 能量 
CS5bC-178	神奥神殿 temple of sinnoh stadium cs5bc f 双方场上宝可梦身上附有的特殊能量的效果全部消除 被视作1个 无 能量 
CSZC-055	神奥神殿 temple of sinnoh stadium cszc f 双方场上宝可梦身上附有的特殊能量的效果全部消除 被视作1个 无 能量 
CS6aC-130	原始祭坛 primordial altar stadium cs6ac f 双方玩家 每次在自己的回合有1次机会 可查看自己牌库上方的1张卡牌后放回原处 若希望 可将该卡牌放于弃牌区 在自己的回合只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CS5DC-151	祝庆村 jubilife village stadium cs5dc f 双方玩家 每次在自己的回合有1次机会 可将自己的手牌全部放回牌库并重洗牌库 在这种情况下 可从自己的牌库上方抽取5张卡牌 如果使用了这个效果的话 自己的回合结束 
CS5aC-125	祝庆村 jubilife village stadium cs5ac f 双方玩家 每次在自己的回合有1次机会 可将自己的手牌全部放回牌库并重洗牌库 在这种情况下 可从自己的牌库上方抽取5张卡牌 如果使用了这个效果的话 自己的回合结束 
CS5aC-174	祝庆村 jubilife village stadium cs5ac f 双方玩家 每次在自己的回合有1次机会 可将自己的手牌全部放回牌库并重洗牌库 在这种情况下 可从自己的牌库上方抽取5张卡牌 如果使用了这个效果的话 自己的回合结束 
CSV6C-128	宝可梦联盟总部 pokémon league headquarters stadium csv6c g 双方场上 基础 宝可梦使用招式所需能量 各增加1个 无 能量 
CSVM2bC-032	宝可梦联盟总部 pokémon league headquarters stadium csvm2bc g 双方场上 基础 宝可梦使用招式所需能量 各增加1个 无 能量 
CSV5C-128	城镇百货 town store stadium csv5c g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 宝可梦道具  在给对手看过之后 加入手牌 并重洗牌库 
CSVM1aC-031	城镇百货 town store stadium csvm1ac g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 宝可梦道具  在给对手看过之后 加入手牌 并重洗牌库 
CSVM1cC-027	城镇百货 town store stadium csvm1cc g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 宝可梦道具  在给对手看过之后 加入手牌 并重洗牌库 
CSV4C-127	海滩场地 beach court stadium csv4c g 双方所有 基础 宝可梦 撤退 所需能量 各减少1个 
CSV4C-165	海滩场地 beach court stadium csv4c g 双方所有 基础 宝可梦 撤退 所需能量 各减少1个 
CSV4C-128	练习室 practice studio stadium csv4c g 双方的 1阶进化 宝可梦所使用的招式 给对手战斗宝可梦造成的伤害 +10  
CSV2C-127	深钵镇 artazon stadium csv2c g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 基础 宝可梦 除 拥有规则的宝可梦 外  放于备战区 并重洗牌库 
CSV2C-163	深钵镇 artazon stadium csv2c g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 基础 宝可梦 除 拥有规则的宝可梦 外  放于备战区 并重洗牌库 
CSVE2C-200	深钵镇 artazon stadium csve2c g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 基础 宝可梦 除 拥有规则的宝可梦 外  放于备战区 并重洗牌库 
CSVM1aC-032	深钵镇 artazon stadium csvm1ac g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 基础 宝可梦 除 拥有规则的宝可梦 外  放于备战区 并重洗牌库 
CSVM1bC-033	深钵镇 artazon stadium csvm1bc g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 基础 宝可梦 除 拥有规则的宝可梦 外  放于备战区 并重洗牌库 
CSVM2bC-031	深钵镇 artazon stadium csvm2bc g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 基础 宝可梦 除 拥有规则的宝可梦 外  放于备战区 并重洗牌库 
CSVM2cC-031	深钵镇 artazon stadium csvm2cc g 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 基础 宝可梦 除 拥有规则的宝可梦 外  放于备战区 并重洗牌库 
CSV2C-126	月光之丘 moonlit hill stadium csv2c g 双方玩家 每次在自己的回合有1次机会 如果将自己手牌中的1张 基本 超 能量 放于弃牌区的话 则可将自己所有宝可梦的hp 各回复 30  
CSV9.5C-204	月光之丘 moonlit hill stadium csv9 5c g 双方玩家 每次在自己的回合有1次机会 如果将自己手牌中的1张 基本 超 能量 放于弃牌区的话 则可将自己所有宝可梦的hp 各回复 30  
CSVM1bC-032	月光之丘 moonlit hill stadium csvm1bc g 双方玩家 每次在自己的回合有1次机会 如果将自己手牌中的1张 基本 超 能量 放于弃牌区的话 则可将自己所有宝可梦的hp 各回复 30  
CSV3C-128	灾祸荒野 calamitous wasteland stadium csv3c g 双方所有 基础 宝可梦 除 斗 宝可梦外  撤退 所需能量 各增加1个 
CSV3C-129	灾祸雪山 calamitous snowy mountain stadium csv3c g 每当双方玩家 各从自己的手牌给 基础 宝可梦 除 水 宝可梦外 附着能量时 给该宝可梦身上放置2个伤害指示物 
CSVM2cC-032	灾祸雪山 calamitous snowy mountain stadium csvm2cc g 每当双方玩家 各从自己的手牌给 基础 宝可梦 除 水 宝可梦外 附着能量时 给该宝可梦身上放置2个伤害指示物 
CSV1C-126	桌台市 mesagoza stadium csv1c g 双方玩家 每次在自己的回合有1次机会 可抛掷1次硬币 如果为正面 则选择自己牌库中的1张宝可梦 在给对手看过之后 加入手牌 并重洗牌库 
