id	type	name	number	attribute	image	quantity	equivalenceKey
8869	宝可梦	妙蛙花ex	3	草	images/hk00008869.webp	0	宝可梦|妙蛙花ex|平和之花|若这只宝可梦在战斗场上，则在自己的回合时可使用1次。将自己的1只宝可梦恢复“60”HP。|剧毒鞭打|草,草,无|150|将对手的战斗宝可梦【中毒】与【混乱】。||||||||||||
9050	宝可梦	妙蛙花ex	3	草	images/hk00009050.webp	0	宝可梦|妙蛙花ex|平和之花|若这只宝可梦在战斗场上，则在自己的回合时可使用1次。将自己的1只宝可梦恢复“60”HP。|剧毒鞭打|草,草,无|150|将对手的战斗宝可梦【中毒】与【混乱】。||||||||||||
9066	宝可梦	妙蛙花ex	3	草	images/hk00009066.webp	0	宝可梦|妙蛙花ex|平和之花|若这只宝可梦在战斗场上，则在自己的回合时可使用1次。将自己的1只宝可梦恢复“60”HP。|剧毒鞭打|草,草,无|150|将对手的战斗宝可梦【中毒】与【混乱】。||||||||||||
1144	宝可梦	妙蛙花V	3	草	images/hk00001144.webp	0	宝可梦|妙蛙花V|||花粉炸弹|草,草,无|80|将对手的战斗宝可梦【中毒】与【睡眠】。|日光台风|草,草,草,无|220|在下个自己的回合，这只宝可梦无法使用“日光台风”。||||||||
1434	宝可梦	妙蛙花V	3	草	images/hk00001434.webp	0	宝可梦|妙蛙花V|||花粉炸弹|草,草,无|80|将对手的战斗宝可梦【中毒】与【睡眠】。|日光台风|草,草,草,无|220|在下个自己的回合，这只宝可梦无法使用“日光台风”。||||||||
1726	宝可梦	妙蛙花V	3	草	images/hk00001726.webp	0	宝可梦|妙蛙花V|||绿叶吸取|草,无|50|将这只宝可梦恢复“30”HP。|舍身冲撞|草,草,无|190|这只宝可梦也受到30点伤害。||||||||
6370	宝可梦	妙蛙花V	3	草	images/hk00006370.webp	0	宝可梦|妙蛙花V|||绿叶吸取|草,无|50|将这只宝可梦恢复“30”HP。|舍身冲撞|草,草,无|190|这只宝可梦也受到30点伤害。||||||||
1727	宝可梦	妙蛙花VMAX	3	草	images/hk00001727.webp	0	宝可梦|妙蛙花VMAX|||森林风暴|无,无|30×|造成自己的场上宝可梦身上附加的【草】能量的数量×30点伤害。|超极巨花团锦簇|草,草,无,无|210|将这只宝可梦恢复“30”HP。||||||||
4550	宝可梦	小火龙	4	火	images/hk00004550.webp	0	宝可梦|小火龙|||抓|无|10|无|火之尾|火,无|20|无||||||||
4849	宝可梦	小火龙	4	火	images/hk00004849.webp	0	宝可梦|小火龙|||抓|无|10|无|火之尾|火,无|20|无||||||||
5557	宝可梦	小火龙	4	火	images/hk00005557.webp	0	宝可梦|小火龙|||火焰牙|火,无|20|将对手的战斗宝可梦【灼伤】。||||||||||||
3310	宝可梦	小火龙	4	火	images/hk00003310.webp	0	宝可梦|小火龙|||抓|火|10|无|回击|无,无|20×|造成这只宝可梦身上所放置的伤害指示物的数量×20点伤害。||||||||
3832	宝可梦	小火龙	4	火	images/hk00003832.webp	0	宝可梦|小火龙|||抓|火|10|无|回击|无,无|20×|造成这只宝可梦身上所放置的伤害指示物的数量×20点伤害。||||||||
3311	宝可梦	小火龙	4	火	images/hk00003311.webp	0	宝可梦|小火龙|||火花|火|30|将这只宝可梦身上所附加的1个能量丢到弃牌区。||||||||||||
500	宝可梦	小火龙	4	火	images/hk00000500.webp	0	宝可梦|小火龙|||呼唤|火|无|从自己的牌库抽出1张卡。|火焰|火,火|30|无||||||||
5946	宝可梦	小火龙	4	火	images/hk00005946.webp	0	宝可梦|小火龙|||呼唤|火|无|从自己的牌库抽出1张卡。|火焰|火,火|30|无||||||||
7198	宝可梦	小火龙	4	火	images/hk00007198.webp	0	宝可梦|小火龙|||燃烧之尾|火|10|从自己的牌库选择1张【火】能量卡，附于这只宝可梦身上。并且重洗牌库。||||||||||||
7275	宝可梦	小火龙	4	火	images/hk00007275.webp	0	宝可梦|小火龙|||燃烧之尾|火|10|从自己的牌库选择1张【火】能量卡，附于这只宝可梦身上。并且重洗牌库。||||||||||||
8870	宝可梦	小火龙	4	火	images/hk00008870.webp	0	宝可梦|小火龙|||全部烧光|火|无|将场上的竞技场卡丢弃。|吐火|火,火|30|无||||||||
9034	宝可梦	小火龙	4	火	images/hk00009034.webp	0	宝可梦|小火龙|||全部烧光|火|无|将场上的竞技场卡丢弃。|吐火|火,火|30|无||||||||
10139	宝可梦	小火龙	4	火	images/hk00010139.webp	0	宝可梦|小火龙|||全部烧光|火|无|将场上的竞技场卡丢弃。|吐火|火,火|30|无||||||||
10653	宝可梦	小火龙	4	火	images/hk00010653.webp	0	宝可梦|小火龙|||全部烧光|火|无|将场上的竞技场卡丢弃。|吐火|火,火|30|无||||||||
11623	宝可梦	小火龙	4	火	images/hk00011623.webp	0	宝可梦|小火龙|||全部烧光|火|无|将场上的竞技场卡丢弃。|吐火|火,火|30|无||||||||
9523	宝可梦	小火龙	4	火	images/hk00009523.webp	0	宝可梦|小火龙|||热力冲撞|火|30|这只宝可梦也受到10点伤害。||||||||||||
4551	宝可梦	火恐龙	5	火	images/hk00004551.webp	0	宝可梦|火恐龙|||利爪劈击|无,无|30|无|高温爆破|火,火,无|70|无||||||||
4850	宝可梦	火恐龙	5	火	images/hk00004850.webp	0	宝可梦|火恐龙|||利爪劈击|无,无|30|无|高温爆破|火,火,无|70|无||||||||
5558	宝可梦	火恐龙	5	火	images/hk00005558.webp	0	宝可梦|火恐龙|斗志燃烧|在自己的回合，当从手牌使出这张卡并完成进化时，可使用1次。从自己的牌库上方抽出5张丢到弃牌区，将其中的所有【火】能量附于这只宝可梦身上。|喷射火焰|火,火,无|80|将这只宝可梦身上所附加的1个能量丢到弃牌区。||||||||||||
3312	宝可梦	火恐龙	5	火	images/hk00003312.webp	0	宝可梦|火恐龙|||火焰牙|火,火|30|将对手的战斗宝可梦【灼伤】。||||||||||||
3833	宝可梦	火恐龙	5	火	images/hk00003833.webp	0	宝可梦|火恐龙|||火焰牙|火,火|30|将对手的战斗宝可梦【灼伤】。||||||||||||
501	宝可梦	火恐龙	5	火	images/hk00000501.webp	0	宝可梦|火恐龙|||劈开|火|20|无|森林火灾|火,火|60|将自己的牌库上方3张卡丢弃。||||||||
5947	宝可梦	火恐龙	5	火	images/hk00005947.webp	0	宝可梦|火恐龙|||劈开|火|20|无|森林火灾|火,火|60|将自己的牌库上方3张卡丢弃。||||||||
7199	宝可梦	火恐龙	5	火	images/hk00007199.webp	0	宝可梦|火恐龙|||抓|火,无|30|无|喷射火焰|火,火,无,无|100|选择1个这只宝可梦身上附加的【火】能量，将其丢弃。||||||||
8871	宝可梦	火恐龙	5	火	images/hk00008871.webp	0	宝可梦|火恐龙|||烈焰|火|20|无|大字爆炎|火,火,火|90|选择1个这只宝可梦身上附加的能量，将其丢弃。||||||||
9035	宝可梦	火恐龙	5	火	images/hk00009035.webp	0	宝可梦|火恐龙|||烈焰|火|20|无|大字爆炎|火,火,火|90|选择1个这只宝可梦身上附加的能量，将其丢弃。||||||||
10140	宝可梦	火恐龙	5	火	images/hk00010140.webp	0	宝可梦|火恐龙|||烈焰|火|20|无|大字爆炎|火,火,火|90|选择1个这只宝可梦身上附加的能量，将其丢弃。||||||||
10654	宝可梦	火恐龙	5	火	images/hk00010654.webp	0	宝可梦|火恐龙|||烈焰|火|20|无|大字爆炎|火,火,火|90|选择1个这只宝可梦身上附加的能量，将其丢弃。||||||||
